Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,0.81,0.85,0.81,0.83,87900,0.83
2015-04-07,0.79,0.81,0.77,0.80,46900,0.80
2015-04-06,0.80,0.80,0.77,0.80,29700,0.80
2015-04-02,0.75,0.80,0.74,0.79,122900,0.79
2015-04-01,0.80,0.80,0.75,0.76,38800,0.76
2015-03-31,0.80,0.80,0.75,0.77,42500,0.77
2015-03-30,0.79,0.80,0.74,0.79,51000,0.79
2015-03-27,0.76,0.80,0.76,0.76,40300,0.76
2015-03-26,0.76,0.79,0.75,0.76,34900,0.76
2015-03-25,0.80,0.81,0.77,0.77,64200,0.77
2015-03-24,0.79,0.82,0.77,0.80,86800,0.80
2015-03-23,0.81,0.81,0.78,0.81,159500,0.81
2015-03-20,0.78,0.83,0.78,0.83,59100,0.83
2015-03-19,0.81,0.81,0.78,0.79,30700,0.79
2015-03-18,0.78,0.82,0.78,0.82,156900,0.82
2015-03-17,0.83,0.84,0.77,0.79,81000,0.79
2015-03-16,0.83,0.84,0.80,0.84,47000,0.84
2015-03-13,0.88,0.88,0.83,0.83,116700,0.83
2015-03-12,0.78,0.86,0.78,0.85,184600,0.85
2015-03-11,0.76,0.79,0.76,0.76,20500,0.76
2015-03-10,0.81,0.81,0.76,0.76,47600,0.76
2015-03-09,0.80,0.80,0.76,0.80,36400,0.80
2015-03-06,0.79,0.80,0.78,0.79,70300,0.79
2015-03-05,0.80,0.81,0.76,0.81,116500,0.81
2015-03-04,0.79,0.80,0.78,0.80,24700,0.80
2015-03-03,0.81,0.81,0.78,0.79,65400,0.79
2015-03-02,0.82,0.83,0.81,0.81,36100,0.81
2015-02-27,0.81,0.84,0.81,0.81,21200,0.81
2015-02-26,0.81,0.83,0.81,0.81,32300,0.81
2015-02-25,0.80,0.84,0.80,0.81,66900,0.81
2015-02-24,0.81,0.84,0.80,0.80,138000,0.80
2015-02-23,0.78,0.83,0.78,0.81,219600,0.81
2015-02-20,0.77,0.78,0.76,0.77,39100,0.77
2015-02-19,0.77,0.78,0.77,0.77,57000,0.77
2015-02-18,0.77,0.78,0.77,0.77,28000,0.77
2015-02-17,0.77,0.78,0.77,0.77,30800,0.77
2015-02-13,0.78,0.78,0.76,0.78,86500,0.78
2015-02-12,0.77,0.78,0.76,0.77,51100,0.77
2015-02-11,0.80,0.83,0.77,0.78,61300,0.78
2015-02-10,0.83,0.86,0.78,0.81,74600,0.81
2015-02-09,0.78,0.82,0.78,0.82,45400,0.82
2015-02-06,0.81,0.81,0.76,0.77,33200,0.77
2015-02-05,0.82,0.82,0.79,0.80,69300,0.80
2015-02-04,0.81,0.82,0.80,0.81,46000,0.81
2015-02-03,0.82,0.83,0.80,0.83,60000,0.83
2015-02-02,0.79,0.84,0.78,0.83,94800,0.83
2015-01-30,0.78,0.80,0.76,0.80,79300,0.80
2015-01-29,0.76,0.77,0.76,0.76,84300,0.76
2015-01-28,0.77,0.78,0.76,0.76,124500,0.76
2015-01-27,0.81,0.82,0.77,0.79,74000,0.79
2015-01-26,0.76,0.82,0.76,0.79,120700,0.79
2015-01-23,0.77,0.79,0.70,0.78,183600,0.78
2015-01-22,0.78,0.81,0.73,0.79,341600,0.79
2015-01-21,0.84,0.84,0.80,0.81,239400,0.81
2015-01-20,0.84,0.84,0.82,0.82,72500,0.82
2015-01-16,0.84,0.85,0.82,0.82,75100,0.82
2015-01-15,0.85,0.85,0.82,0.82,94300,0.82
2015-01-14,0.86,0.86,0.81,0.83,72800,0.83
2015-01-13,0.87,0.89,0.84,0.85,219300,0.85
2015-01-12,0.87,0.88,0.84,0.87,112700,0.87
2015-01-09,0.89,0.90,0.86,0.89,102900,0.89
2015-01-08,0.89,0.92,0.89,0.89,101200,0.89
2015-01-07,0.88,0.93,0.88,0.93,76300,0.93
2015-01-06,0.90,0.91,0.88,0.89,180400,0.89
2015-01-05,0.88,0.92,0.88,0.92,85700,0.92
2015-01-02,0.90,0.92,0.90,0.91,128400,0.91
