Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,0.10,0.10,0.10,0.10,500,0.10
2015-04-07,0.10,0.10,0.10,0.10,1300,0.10
2015-04-06,0.10,0.10,0.10,0.10,27700,0.10
2015-04-02,0.10,0.10,0.09,0.10,39800,0.10
2015-04-01,0.11,0.11,0.11,0.11,000,0.11
2015-03-31,0.11,0.11,0.11,0.11,000,0.11
2015-03-30,0.11,0.11,0.11,0.11,5100,0.11
2015-03-27,0.11,0.11,0.01,0.10,64400,0.10
2015-03-26,0.11,0.11,0.11,0.11,400,0.11
2015-03-25,0.11,0.11,0.11,0.11,1300,0.11
2015-03-24,0.12,0.12,0.12,0.12,000,0.12
2015-03-23,0.12,0.12,0.12,0.12,2100,0.12
2015-03-20,0.12,0.13,0.12,0.13,700,0.13
2015-03-19,0.14,0.14,0.14,0.14,000,0.14
2015-03-18,0.14,0.14,0.14,0.14,2000,0.14
2015-03-17,0.15,0.15,0.15,0.15,000,0.15
2015-03-16,0.15,0.15,0.15,0.15,4500,0.15
2015-03-13,0.12,0.12,0.12,0.12,300,0.12
2015-03-12,0.12,0.12,0.12,0.12,800,0.12
2015-03-11,0.15,0.15,0.12,0.12,2300,0.12
2015-03-10,0.14,0.15,0.12,0.12,34400,0.12
2015-03-09,0.13,0.15,0.13,0.14,28100,0.14
2015-03-06,0.13,0.13,0.12,0.12,1800,0.12
2015-03-05,0.15,0.15,0.13,0.13,21100,0.13
2015-03-04,0.14,0.14,0.13,0.13,73600,0.13
2015-03-03,0.15,0.15,0.15,0.15,3000,0.15
2015-03-02,0.14,0.16,0.14,0.16,1900,0.16
2015-02-27,0.17,0.17,0.17,0.17,000,0.17
2015-02-26,0.17,0.17,0.16,0.17,2100,0.17
2015-02-25,0.14,0.14,0.14,0.14,000,0.14
2015-02-24,0.16,0.17,0.14,0.14,4100,0.14
2015-02-23,0.16,0.16,0.16,0.16,10000,0.16
2015-02-20,0.14,0.14,0.14,0.14,000,0.14
2015-02-19,0.14,0.16,0.14,0.14,11200,0.14
2015-02-18,0.14,0.17,0.14,0.14,16500,0.14
2015-02-17,0.14,0.17,0.14,0.17,300,0.17
2015-02-13,0.13,0.15,0.13,0.15,19100,0.15
2015-02-12,0.16,0.16,0.16,0.16,000,0.16
2015-02-11,0.15,0.17,0.15,0.16,22100,0.16
2015-02-10,0.17,0.17,0.15,0.15,700,0.15
2015-02-09,0.14,0.17,0.14,0.17,86400,0.17
2015-02-06,0.15,0.16,0.14,0.16,42300,0.16
2015-02-05,0.14,0.15,0.14,0.15,27500,0.15
2015-02-04,0.14,0.14,0.14,0.14,500,0.14
2015-02-03,0.14,0.16,0.14,0.14,15300,0.14
2015-02-02,0.15,0.15,0.14,0.14,20300,0.14
2015-01-30,0.13,0.15,0.13,0.15,10800,0.15
2015-01-29,0.16,0.16,0.14,0.14,28000,0.14
2015-01-28,0.16,0.16,0.16,0.16,4000,0.16
2015-01-27,0.16,0.16,0.16,0.16,000,0.16
2015-01-26,0.14,0.16,0.14,0.16,1500,0.16
2015-01-23,0.14,0.16,0.14,0.16,12900,0.16
2015-01-22,0.15,0.15,0.14,0.15,45700,0.15
2015-01-21,0.17,0.17,0.17,0.17,000,0.17
2015-01-20,0.16,0.17,0.15,0.17,69000,0.17
2015-01-16,0.14,0.16,0.14,0.16,1500,0.16
2015-01-15,0.16,0.16,0.16,0.16,12400,0.16
2015-01-14,0.15,0.16,0.13,0.16,40500,0.16
2015-01-13,0.16,0.17,0.14,0.15,27600,0.15
2015-01-12,0.16,0.18,0.16,0.16,43700,0.16
2015-01-09,0.16,0.16,0.16,0.16,2500,0.16
2015-01-08,0.18,0.18,0.15,0.16,11700,0.16
2015-01-07,0.19,0.19,0.15,0.15,5200,0.15
2015-01-06,0.20,0.20,0.20,0.20,000,0.20
2015-01-05,0.16,0.20,0.14,0.20,27200,0.20
2015-01-02,0.16,0.20,0.15,0.15,51100,0.15
