Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,7.15,7.35,7.08,7.30,9731300,7.30
2015-04-07,7.14,7.32,7.12,7.19,8778900,7.19
2015-04-06,7.02,7.21,6.99,7.11,9571400,7.11
2015-04-02,7.02,7.12,6.96,7.06,10144600,7.06
2015-04-01,7.20,7.23,6.99,7.02,11566900,7.02
2015-03-31,7.33,7.35,7.20,7.21,9539700,7.21
2015-03-30,7.61,7.66,7.26,7.43,11509700,7.43
2015-03-27,7.55,7.68,7.55,7.61,5033300,7.61
2015-03-26,7.71,7.73,7.58,7.58,5632600,7.58
2015-03-25,7.82,7.85,7.57,7.74,13070700,7.74
2015-03-24,7.62,7.73,7.52,7.56,5505100,7.56
2015-03-23,7.59,7.75,7.58,7.66,4230900,7.66
2015-03-20,7.67,7.71,7.57,7.60,11001600,7.60
2015-03-19,7.72,7.80,7.60,7.64,6957100,7.64
2015-03-18,7.82,7.83,7.70,7.74,4808900,7.74
2015-03-17,7.78,7.93,7.77,7.85,5569100,7.85
2015-03-16,7.77,7.86,7.71,7.82,5774600,7.82
2015-03-13,7.85,7.96,7.71,7.77,6126600,7.77
2015-03-12,8.03,8.05,7.84,7.89,4444100,7.89
2015-03-11,7.85,8.05,7.80,8.00,9154900,8.00
2015-03-10,7.84,7.99,7.63,7.86,13862100,7.86
2015-03-09,7.86,7.92,7.74,7.92,8478500,7.92
2015-03-06,7.91,8.02,7.81,7.89,9217400,7.89
2015-03-05,7.97,8.03,7.85,7.93,6548800,7.93
2015-03-04,7.98,8.04,7.81,7.98,7079000,7.98
2015-03-03,8.14,8.16,7.96,8.05,6474400,8.05
2015-03-02,8.22,8.28,8.08,8.13,8214300,8.13
2015-02-27,8.27,8.34,8.16,8.18,7262700,8.18
2015-02-26,8.19,8.37,8.16,8.30,15241500,8.30
2015-02-25,8.06,8.29,8.06,8.26,11879100,8.26
2015-02-24,8.19,8.20,8.00,8.08,6263200,8.08
2015-02-23,8.12,8.24,8.07,8.19,8419600,8.19
2015-02-20,7.87,8.17,7.82,8.15,12168400,8.15
2015-02-19,7.80,7.96,7.77,7.87,10713300,7.87
2015-02-18,8.00,8.05,7.77,7.80,14441600,7.80
2015-02-17,7.96,8.15,7.96,8.06,20707400,8.06
2015-02-13,7.55,8.17,7.39,7.97,57114800,7.97
2015-02-12,7.75,7.80,7.37,7.46,37644800,7.46
2015-02-11,7.41,7.63,7.40,7.58,14023800,7.58
2015-02-10,7.47,7.52,7.35,7.42,11817900,7.42
2015-02-09,7.39,7.56,7.35,7.46,10122000,7.46
2015-02-06,7.42,7.46,7.31,7.39,8687600,7.39
2015-02-05,7.53,7.61,7.38,7.46,11335100,7.46
2015-02-04,7.35,7.48,7.26,7.30,7324400,7.30
2015-02-03,7.25,7.46,7.18,7.42,9013500,7.42
2015-02-02,7.15,7.31,7.04,7.22,10342300,7.22
2015-01-30,7.38,7.41,7.08,7.16,11998200,7.16
2015-01-29,6.93,7.39,6.75,7.34,18892100,7.34
2015-01-28,7.18,7.20,6.83,6.95,11230400,6.95
2015-01-27,7.08,7.16,7.00,7.08,10812900,7.08
2015-01-26,7.31,7.42,7.18,7.20,10384100,7.20
2015-01-23,7.45,7.54,7.29,7.32,8018800,7.32
2015-01-22,7.19,7.55,7.07,7.50,12936100,7.50
2015-01-21,7.22,7.34,7.05,7.16,12693700,7.16
2015-01-20,7.34,7.42,7.13,7.27,10560000,7.27
2015-01-16,7.26,7.44,7.18,7.34,12764200,7.34
2015-01-15,7.50,7.55,7.12,7.30,13337800,7.30
2015-01-14,7.36,7.52,7.20,7.37,9800700,7.37
2015-01-13,7.44,7.62,7.32,7.48,10886100,7.48
2015-01-12,7.75,7.81,7.33,7.42,12997400,7.42
2015-01-09,7.96,8.03,7.68,7.74,10988200,7.74
2015-01-08,7.99,8.14,7.62,7.84,16389300,7.84
2015-01-07,8.00,8.23,7.86,7.95,17465500,7.95
2015-01-06,7.85,8.05,7.69,7.91,14728400,7.91
2015-01-05,7.95,8.04,7.71,7.79,9801700,7.79
2015-01-02,8.34,8.34,7.91,8.02,9113400,8.02
