Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.98,5.11,4.95,4.99,32000,4.99
2014-12-30,5.06,5.06,4.94,5.02,721400,5.02
2014-12-29,4.91,5.07,4.84,5.07,24300,5.07
2014-12-26,4.81,4.91,4.81,4.86,21900,4.86
2014-12-24,4.77,4.83,4.77,4.83,11700,4.83
2014-12-23,4.91,4.91,4.70,4.78,25200,4.78
2014-12-22,4.66,4.75,4.66,4.69,31300,4.69
2014-12-19,4.67,4.69,4.52,4.69,122200,4.69
2014-12-18,4.75,4.79,4.64,4.71,40300,4.71
2014-12-17,4.76,4.76,4.75,4.75,66700,4.75
2014-12-16,4.91,4.94,4.76,4.83,20700,4.83
2014-12-15,4.90,5.08,4.88,4.91,17400,4.91
2014-12-12,5.05,5.09,4.85,5.02,17400,5.02
2014-12-11,5.08,5.10,5.00,5.03,11300,5.03
2014-12-10,5.09,5.18,4.91,5.01,16600,5.01
2014-12-09,5.18,5.21,4.95,5.08,13800,5.08
2014-12-08,5.00,5.30,4.97,5.19,30900,5.19
2014-12-05,5.06,5.09,4.91,5.01,24700,5.01
2014-12-04,5.05,5.10,4.93,4.94,13700,4.94
2014-12-03,5.06,5.08,4.87,5.08,14500,5.08
2014-12-02,5.10,5.16,5.09,5.09,13800,5.09
2014-12-01,5.20,5.21,5.07,5.12,4800,5.12
2014-11-28,4.97,5.22,4.86,5.21,47200,5.21
2014-11-26,4.90,5.00,4.78,4.96,46600,4.96
2014-11-25,4.83,4.89,4.76,4.87,30800,4.87
2014-11-24,5.18,5.18,4.83,4.85,9900,4.85
2014-11-21,5.25,5.25,5.11,5.12,17800,5.12
2014-11-20,5.29,5.30,5.20,5.25,22000,5.25
2014-11-19,5.15,5.30,5.15,5.29,46700,5.29
2014-11-18,5.32,5.45,5.15,5.22,35800,5.22
2014-11-17,5.26,5.44,5.13,5.36,56300,5.36
2014-11-14,5.16,5.16,5.01,5.12,34100,5.12
2014-11-13,4.94,5.20,4.94,5.11,27800,5.11
2014-11-12,4.91,4.97,4.85,4.96,23600,4.96
2014-11-11,4.71,4.91,4.71,4.86,11800,4.86
2014-11-10,4.91,4.91,4.79,4.85,5000,4.85
2014-11-07,4.94,4.98,4.78,4.88,38800,4.88
2014-11-06,4.97,4.98,4.94,4.96,7100,4.96
2014-11-05,4.63,4.94,4.63,4.89,5000,4.89
2014-11-04,4.65,5.01,4.62,4.89,47100,4.89
2014-11-03,4.79,4.79,4.60,4.68,18000,4.68
2014-10-31,4.81,4.88,4.72,4.81,51200,4.81
2014-10-30,4.95,4.95,4.82,4.82,1100,4.82
2014-10-29,4.84,5.02,4.84,4.97,13400,4.97
2014-10-28,4.92,5.02,4.87,4.92,21900,4.92
2014-10-27,4.84,4.84,4.80,4.80,13800,4.80
2014-10-24,4.74,4.94,4.72,4.82,10200,4.82
2014-10-23,4.75,4.88,4.75,4.78,30500,4.78
2014-10-22,4.98,4.98,4.83,4.83,4200,4.83
2014-10-21,4.75,5.00,4.75,4.94,12500,4.94
