Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,19.11,19.16,19.04,19.05,124500,19.05
2014-12-30,19.16,19.19,19.09,19.15,107800,19.15
2014-12-29,19.20,19.24,19.08,19.15,91900,19.15
2014-12-26,19.13,19.23,19.10,19.20,135600,19.20
2014-12-25,19.07,19.07,19.07,19.07,000,19.07
2014-12-24,19.13,19.14,19.01,19.07,59400,19.07
2014-12-23,19.11,19.18,19.03,19.07,54300,19.07
2014-12-22,19.05,19.19,19.04,19.15,156500,19.15
2014-12-19,19.25,19.25,19.03,19.05,678200,19.05
2014-12-18,19.21,19.24,19.09,19.15,135600,19.15
2014-12-17,19.03,19.15,19.00,19.05,442500,19.05
2014-12-16,19.05,19.15,18.97,18.97,157000,18.97
2014-12-15,19.18,19.24,19.05,19.07,344500,19.07
2014-12-12,18.97,19.22,18.92,19.05,291100,19.05
2014-12-11,19.10,19.22,19.04,19.05,176100,19.05
2014-12-10,19.18,19.23,18.96,19.03,315700,19.03
2014-12-09,19.08,19.31,19.01,19.29,198800,19.29
2014-12-08,19.29,19.44,19.13,19.19,146500,19.19
2014-12-05,19.21,19.35,19.14,19.35,114700,19.35
2014-12-04,19.07,19.33,19.07,19.24,109800,19.24
2014-12-03,19.28,19.38,19.22,19.22,99300,19.22
2014-12-02,19.36,19.44,19.17,19.22,219300,19.22
2014-12-01,19.35,19.45,19.31,19.34,216500,19.34
2014-11-28,19.40,19.47,19.33,19.41,60000,19.41
2014-11-27,19.43,19.43,19.43,19.43,000,19.43
2014-11-26,19.47,19.55,19.38,19.43,298900,19.43
2014-11-25,19.58,19.58,19.39,19.46,219900,19.46
2014-11-24,19.60,19.69,19.46,19.56,420400,19.56
2014-11-21,19.63,19.77,19.52,19.56,265300,19.56
2014-11-20,19.40,19.71,19.37,19.67,185400,19.67
2014-11-19,19.50,19.62,19.34,19.42,127400,19.42
2014-11-18,19.18,19.52,19.10,19.49,161600,19.49
2014-11-17,19.22,19.36,19.12,19.17,211300,19.17
2014-11-14,19.45,19.45,19.28,19.33,115000,19.33
2014-11-13,19.50,19.54,19.32,19.41,137100,19.41
2014-11-12,19.46,19.53,19.36,19.47,165600,19.47
2014-11-11,19.60,19.63,19.39,19.44,154700,19.44
2014-11-10,19.46,19.72,19.45,19.66,234900,19.66
2014-11-07,19.59,19.63,19.49,19.56,350400,19.56
2014-11-06,19.53,19.62,19.39,19.60,385700,19.60
2014-11-05,19.65,19.65,19.31,19.55,299800,19.55
2014-11-04,19.57,19.64,19.10,19.34,357800,19.34
2014-11-03,19.64,19.90,19.55,19.57,236400,19.57
2014-10-31,19.75,19.86,19.63,19.70,465700,19.70
2014-10-30,19.65,19.71,19.49,19.64,258200,19.64
2014-10-29,19.59,19.70,19.48,19.55,251000,19.55
2014-10-28,19.47,19.63,19.32,19.58,289500,19.58
2014-10-27,19.45,19.45,19.21,19.37,99700,19.37
2014-10-24,19.49,19.49,19.32,19.47,95100,19.47
2014-10-23,19.56,19.59,19.30,19.42,240500,19.42
2014-10-22,19.35,19.59,19.33,19.42,211200,19.42
2014-10-21,19.48,19.48,19.18,19.39,344400,19.39
2014-10-20,19.29,19.41,19.20,19.39,337400,19.39
2014-10-17,19.46,19.55,19.22,19.24,275000,19.24
2014-10-16,19.26,19.55,19.11,19.42,452700,19.42
2014-10-15,19.41,19.42,19.04,19.35,460600,19.35
