Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,10.62,10.71,10.46,10.57,242400,10.57
2015-04-07,10.95,10.95,10.62,10.65,41100,10.65
2015-04-06,11.10,11.10,10.76,10.95,26900,10.95
2015-04-02,10.73,11.16,10.73,11.10,22300,11.10
2015-04-01,10.55,10.80,10.50,10.79,25100,10.79
2015-03-31,10.60,10.65,10.53,10.60,38400,10.60
2015-03-30,10.53,10.65,10.48,10.63,43300,10.63
2015-03-27,10.35,10.55,10.25,10.45,32000,10.45
2015-03-26,10.29,10.49,10.23,10.35,21700,10.35
2015-03-25,10.35,10.40,10.25,10.26,39600,10.26
2015-03-24,10.21,10.39,10.17,10.35,50300,10.35
2015-03-23,10.50,10.66,9.87,10.23,122300,10.23
2015-03-20,11.08,11.08,10.38,10.45,137700,10.45
2015-03-19,11.22,11.22,11.04,11.06,8600,11.06
2015-03-18,11.03,11.25,10.99,11.25,9300,11.25
2015-03-17,11.14,11.14,11.01,11.07,7700,11.07
2015-03-16,11.27,11.27,10.93,11.19,14100,11.19
2015-03-13,11.30,11.30,10.91,11.27,16400,11.27
2015-03-12,11.17,11.42,10.36,11.32,32800,11.32
2015-03-11,11.09,11.29,11.03,11.03,67700,11.03
2015-03-10,11.03,11.20,11.03,11.12,8900,11.12
2015-03-09,10.88,11.30,10.88,11.22,23800,11.22
2015-03-06,10.63,11.04,10.63,10.88,81700,10.88
2015-03-05,10.80,11.16,10.70,10.70,34700,10.70
2015-03-04,11.03,11.12,10.69,10.75,58800,10.75
2015-03-03,11.09,11.21,11.05,11.07,6100,11.07
2015-03-02,11.31,11.48,11.03,11.21,9900,11.21
2015-02-27,11.33,11.42,11.28,11.28,15500,11.28
2015-02-26,11.05,11.44,11.05,11.38,13200,11.38
2015-02-25,10.85,11.14,10.85,11.10,14300,11.10
2015-02-24,10.92,11.13,10.73,10.87,17000,10.87
2015-02-23,10.96,11.04,10.66,10.92,39200,10.92
2015-02-20,10.86,11.02,10.78,10.87,26300,10.87
2015-02-19,10.71,10.98,10.70,10.81,17300,10.81
2015-02-18,10.51,10.74,10.51,10.68,6800,10.68
2015-02-17,10.47,10.69,9.50,10.59,45000,10.59
2015-02-13,10.66,10.82,10.44,10.48,20800,10.48
2015-02-12,10.50,10.74,10.50,10.64,19000,10.64
2015-02-11,10.94,11.00,10.62,10.65,19400,10.65
2015-02-10,11.11,11.11,10.93,10.97,28200,10.97
2015-02-09,11.10,11.33,11.03,11.05,26000,11.05
2015-02-06,11.32,11.34,11.16,11.22,30200,11.22
2015-02-05,11.28,11.46,11.13,11.29,13000,11.29
2015-02-04,11.51,11.65,11.22,11.26,15400,11.26
2015-02-03,11.24,11.59,11.22,11.52,16500,11.52
2015-02-02,11.03,11.24,10.87,11.16,24600,11.16
2015-01-30,11.14,11.31,11.01,11.04,29600,11.04
2015-01-29,11.20,11.29,11.05,11.27,14500,11.27
2015-01-28,11.32,11.38,11.05,11.07,25400,11.07
2015-01-27,11.23,11.41,11.22,11.28,17700,11.28
2015-01-26,11.41,11.41,11.21,11.25,19300,11.25
2015-01-23,11.66,11.66,11.15,11.41,21900,11.41
2015-01-22,11.38,11.70,11.38,11.62,25000,11.62
2015-01-21,11.00,11.48,11.00,11.36,18400,11.36
2015-01-20,11.14,11.25,11.00,11.07,29800,11.07
2015-01-16,10.96,11.45,10.96,11.08,34100,11.08
2015-01-15,11.24,11.40,10.98,11.01,44100,11.01
2015-01-14,11.39,11.50,10.91,11.28,24200,11.28
2015-01-13,11.46,11.99,11.31,11.39,15000,11.39
2015-01-12,11.55,11.64,11.25,11.32,19600,11.32
2015-01-09,11.60,11.70,11.52,11.59,9000,11.59
2015-01-08,11.52,11.76,11.20,11.67,16000,11.67
2015-01-07,11.67,11.67,11.22,11.40,14200,11.40
2015-01-06,11.86,12.25,11.50,11.52,16200,11.52
2015-01-05,11.95,12.67,11.82,11.97,87600,11.97
2015-01-02,12.09,12.24,11.79,12.11,24900,12.11
