Date,Open,High,Low,Close,Volume,Adj Close
2015-02-24,10.29,10.29,10.29,10.29,300,10.29
2015-02-23,11.64,11.64,11.64,11.64,000,11.64
2015-02-20,11.64,11.64,11.64,11.64,000,11.64
2015-02-19,11.64,11.64,11.64,11.64,000,11.64
2015-02-18,10.58,11.64,10.58,11.64,500,11.64
2015-02-17,10.29,10.29,10.29,10.29,000,10.29
2015-02-13,10.29,10.29,10.29,10.29,000,10.29
2015-02-12,10.29,10.29,10.29,10.29,000,10.29
2015-02-11,10.28,10.29,10.28,10.29,600,10.29
2015-02-10,10.20,10.20,10.20,10.20,000,10.20
2015-02-09,10.20,10.20,10.20,10.20,000,10.20
2015-02-06,10.20,10.20,10.20,10.20,000,10.20
2015-02-05,10.20,10.20,10.20,10.20,100,10.20
2015-02-04,10.24,10.24,10.24,10.24,000,10.24
2015-02-03,10.24,10.24,10.24,10.24,000,10.24
2015-02-02,10.25,10.25,10.20,10.24,300,10.24
2015-01-30,10.85,10.85,10.85,10.85,000,10.85
2015-01-29,10.85,10.85,10.85,10.85,000,10.85
2015-01-28,10.85,10.85,10.85,10.85,000,10.85
2015-01-27,10.85,10.85,10.85,10.85,000,10.85
2015-01-26,10.63,10.85,10.60,10.85,800,10.85
2015-01-23,10.65,10.65,10.65,10.65,000,10.65
2015-01-22,10.60,10.65,10.47,10.65,1100,10.65
2015-01-21,10.39,10.41,10.39,10.41,600,10.41
2015-01-20,10.44,10.75,10.37,10.65,900,10.65
2015-01-16,10.29,10.48,10.29,10.48,1600,10.48
2015-01-15,11.02,11.02,10.54,10.55,400,10.55
2015-01-14,13.07,13.07,10.36,11.00,900,11.00
2015-01-13,10.43,10.43,10.43,10.43,000,10.43
2015-01-12,10.39,10.43,10.39,10.43,200,10.43
2015-01-09,10.73,10.73,10.73,10.73,1000,10.73
2015-01-08,10.50,10.50,10.50,10.50,1100,10.50
2015-01-07,10.35,10.45,10.30,10.42,5000,10.42
2015-01-06,10.27,10.45,10.27,10.45,7700,10.45
2015-01-05,10.30,10.30,10.30,10.30,100,10.30
2015-01-02,10.28,10.40,10.25,10.32,4200,10.32
