Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,7.94,8.11,7.81,7.97,14700,7.97
2015-04-07,7.88,8.07,7.60,8.07,33100,8.07
2015-04-06,8.03,8.03,7.64,8.00,30100,8.00
2015-04-02,7.75,8.00,7.68,8.00,40800,8.00
2015-04-01,7.77,7.80,7.61,7.75,21000,7.75
2015-03-31,8.00,8.07,7.54,7.81,52000,7.81
2015-03-30,8.47,8.47,7.74,7.87,140900,7.87
2015-03-27,8.52,8.72,8.21,8.51,63600,8.51
2015-03-26,8.65,8.97,8.50,8.62,28700,8.62
2015-03-25,9.14,9.18,8.50,8.79,60200,8.79
2015-03-24,9.37,9.38,8.87,9.07,47200,9.07
2015-03-23,9.22,9.37,8.85,9.37,77200,9.37
2015-03-20,9.25,9.25,8.76,9.13,128300,9.13
2015-03-19,8.80,9.38,8.40,9.24,330700,9.24
2015-03-18,7.89,7.89,7.12,7.53,46500,7.53
2015-03-17,7.28,7.37,7.05,7.17,30800,7.17
2015-03-16,6.95,7.50,6.72,7.35,43700,7.35
2015-03-13,7.22,7.30,6.90,6.98,38700,6.98
2015-03-12,7.24,7.53,7.18,7.21,14200,7.21
2015-03-11,7.02,7.72,7.02,7.21,16300,7.21
2015-03-10,7.13,7.25,7.01,7.03,22700,7.03
2015-03-09,7.55,7.55,7.10,7.17,12200,7.17
2015-03-06,7.74,7.90,7.41,7.44,24400,7.44
2015-03-05,7.79,8.11,7.58,7.71,25600,7.71
2015-03-04,7.53,7.93,7.30,7.77,30200,7.77
2015-03-03,7.20,7.87,7.20,7.49,79700,7.49
2015-03-02,7.16,7.57,7.16,7.26,28900,7.26
2015-02-27,7.11,7.37,7.11,7.18,12500,7.18
2015-02-26,7.16,7.29,7.01,7.09,51700,7.09
2015-02-25,7.17,7.33,7.05,7.13,31900,7.13
2015-02-24,7.55,7.55,7.16,7.16,51600,7.16
2015-02-23,7.70,7.74,7.45,7.55,27900,7.55
2015-02-20,7.66,8.07,7.66,7.77,148000,7.77
2015-02-19,8.10,8.10,7.79,7.90,9100,7.90
2015-02-18,8.15,8.24,7.95,8.06,169200,8.06
2015-02-17,8.00,8.07,7.93,8.00,32600,8.00
2015-02-13,7.83,8.08,7.83,8.03,76800,8.03
2015-02-12,7.90,7.97,7.70,7.87,80400,7.87
2015-02-11,7.70,7.92,7.70,7.90,42600,7.90
2015-02-10,7.71,7.79,7.60,7.79,46200,7.79
2015-02-09,7.22,7.80,7.22,7.74,77600,7.74
2015-02-06,7.19,7.37,6.99,7.26,28300,7.26
2015-02-05,7.02,7.16,6.98,7.02,24100,7.02
2015-02-04,6.97,7.09,6.96,6.96,20800,6.96
2015-02-03,7.01,7.15,6.68,6.98,71000,6.98
2015-02-02,7.15,7.16,6.98,7.02,43700,7.02
2015-01-30,7.00,7.20,6.98,7.09,17200,7.09
2015-01-29,7.29,7.29,6.96,7.01,27900,7.01
2015-01-28,7.00,7.14,6.91,7.03,63400,7.03
2015-01-27,7.00,7.04,6.90,7.00,46900,7.00
2015-01-26,7.29,7.29,7.00,7.05,33200,7.05
2015-01-23,7.10,7.24,6.96,7.18,24300,7.18
2015-01-22,7.18,7.36,7.00,7.15,39500,7.15
2015-01-21,7.32,7.32,6.95,7.11,46500,7.11
2015-01-20,7.53,7.53,7.06,7.10,12700,7.10
2015-01-16,6.95,7.18,6.91,7.12,21400,7.12
2015-01-15,7.30,7.30,6.85,6.97,70900,6.97
2015-01-14,6.95,7.50,6.95,7.31,91800,7.31
2015-01-13,7.20,7.35,7.04,7.10,38700,7.10
2015-01-12,7.31,7.31,7.00,7.18,44800,7.18
2015-01-09,7.65,7.65,7.27,7.34,34800,7.34
2015-01-08,7.60,7.88,7.45,7.76,83200,7.76
2015-01-07,7.40,7.56,7.09,7.51,109300,7.51
2015-01-06,7.47,7.47,7.11,7.37,45700,7.37
2015-01-05,7.26,7.59,7.26,7.49,57500,7.49
2015-01-02,7.16,7.42,6.88,7.42,42000,7.42
