Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,17.04,17.19,16.98,17.14,9063500,17.14
2015-04-07,16.57,17.14,16.50,17.04,6860200,17.04
2015-04-06,17.23,17.61,17.23,17.36,689900,17.36
2015-04-02,16.89,17.43,16.89,17.32,691600,17.32
2015-04-01,16.48,17.10,16.43,17.01,927700,17.01
2015-03-31,16.60,16.73,16.25,16.54,1197200,16.54
2015-03-30,16.35,16.78,16.32,16.70,1048800,16.70
2015-03-27,17.05,17.12,16.23,16.37,1759700,16.37
2015-03-26,17.21,17.38,16.77,17.12,1071500,16.94
2015-03-25,17.35,17.52,16.95,17.19,1036900,17.01
2015-03-24,17.75,17.75,17.31,17.33,1416300,17.15
2015-03-23,17.54,17.90,17.54,17.74,1499900,17.55
2015-03-20,17.46,17.63,17.25,17.54,3258900,17.36
2015-03-19,17.91,17.94,17.34,17.41,4695000,17.23
2015-03-18,18.50,18.50,17.23,17.93,4413800,17.74
2015-03-17,18.37,18.62,18.36,18.55,1129500,18.35
2015-03-16,18.66,18.72,18.46,18.48,1337200,18.29
2015-03-13,18.88,18.88,18.59,18.66,1752300,18.46
2015-03-12,18.82,18.95,18.71,18.85,1536200,18.65
2015-03-11,18.51,18.86,18.45,18.83,1932800,18.63
2015-03-10,18.40,18.63,18.38,18.56,2486600,18.36
2015-03-09,18.43,18.54,18.35,18.53,3377800,18.34
2015-03-06,18.39,18.52,18.39,18.42,1766400,18.23
2015-03-05,18.45,18.58,18.39,18.45,1564800,18.26
2015-03-04,18.40,18.55,18.35,18.43,1683100,18.24
2015-03-03,18.51,18.64,18.38,18.41,1502000,18.22
2015-03-02,18.39,18.61,18.33,18.57,2264900,18.37
2015-02-27,18.49,18.56,18.34,18.41,3440300,18.22
2015-02-26,18.63,18.75,18.51,18.56,2738700,18.36
2015-02-25,18.37,18.77,18.26,18.70,6014400,18.50
2015-02-24,18.27,18.64,18.20,18.46,9385400,18.09
2015-02-23,18.15,18.67,18.15,18.35,44043700,17.98
2015-02-20,16.60,17.19,16.56,16.76,3773500,16.42
2015-02-19,16.29,17.38,16.25,17.22,2703800,16.87
2015-02-18,16.75,17.08,16.04,16.27,3314900,15.94
2015-02-17,16.13,16.60,16.07,16.55,1459900,16.22
2015-02-13,16.31,16.55,16.10,16.15,1606200,15.82
2015-02-12,15.78,16.69,15.66,16.29,2298500,15.96
2015-02-11,15.64,15.86,15.42,15.67,2106200,15.35
2015-02-10,15.58,16.00,15.27,15.61,2701300,15.30
2015-02-09,15.11,15.83,15.11,15.46,2904500,15.15
2015-02-06,14.56,15.27,14.40,15.11,1890300,14.81
2015-02-05,13.86,14.68,13.86,14.55,1996900,14.26
2015-02-04,13.57,14.16,13.54,13.85,2417000,13.57
2015-02-03,12.78,14.31,12.78,13.67,2654800,13.39
2015-02-02,12.06,12.79,12.06,12.75,2106600,12.49
2015-01-30,12.14,12.29,11.92,12.06,1464900,11.82
2015-01-29,12.46,12.61,12.14,12.29,1463100,12.04
2015-01-28,12.60,12.83,12.45,12.46,1933200,12.21
2015-01-27,12.80,13.00,12.35,12.85,2618400,12.41
2015-01-26,14.50,14.52,12.86,13.07,5066900,12.63
2015-01-23,14.66,15.35,12.21,13.76,7647100,13.29
2015-01-22,15.11,15.45,14.95,15.35,1883000,14.83
2015-01-21,14.13,15.16,14.10,15.09,3564900,14.58
2015-01-20,14.87,15.15,14.23,14.25,3142200,13.77
2015-01-16,13.99,15.34,13.80,15.20,3425300,14.68
2015-01-15,14.13,14.54,13.74,13.80,4802800,13.33
2015-01-14,13.08,14.25,13.08,14.13,6042300,13.65
2015-01-13,16.10,16.14,9.73,12.95,20397600,12.51
2015-01-12,17.07,17.22,16.00,16.09,1851900,15.54
2015-01-09,17.52,17.56,16.18,17.03,2868800,16.45
2015-01-08,17.88,18.10,17.42,17.58,959400,16.98
2015-01-07,18.10,18.31,17.43,17.80,937500,17.20
2015-01-06,19.30,19.46,17.35,17.95,1964300,17.34
2015-01-05,19.45,19.47,19.10,19.25,460800,18.60
2015-01-02,19.63,19.69,19.42,19.48,387100,18.82
