Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.40,10.40,9.92,10.06,155100,10.06
2014-12-30,10.14,10.49,9.67,10.23,50100,10.23
2014-12-29,9.69,10.22,9.69,10.04,88600,10.04
2014-12-26,9.82,9.83,9.64,9.75,66700,9.75
2014-12-24,9.79,10.00,9.68,9.75,25000,9.75
2014-12-23,9.80,10.09,9.59,9.73,128600,9.73
2014-12-22,9.27,9.79,9.13,9.72,171400,9.72
2014-12-19,9.28,9.36,9.17,9.27,157800,9.27
2014-12-18,9.40,9.43,9.26,9.30,116000,9.30
2014-12-17,9.11,9.43,9.08,9.25,131600,9.25
2014-12-16,9.01,9.49,9.00,9.06,110000,9.06
2014-12-15,9.13,9.44,9.00,9.07,209200,9.07
2014-12-12,8.53,9.20,8.53,9.05,210300,9.05
2014-12-11,8.15,8.77,8.13,8.67,135600,8.67
2014-12-10,7.76,8.24,7.31,8.11,738700,8.11
2014-12-09,7.43,7.92,7.39,7.75,142900,7.75
2014-12-08,7.70,7.70,7.49,7.55,104500,7.55
2014-12-05,7.69,7.85,7.59,7.70,41500,7.70
2014-12-04,7.87,7.88,7.56,7.61,70400,7.61
2014-12-03,7.83,7.97,7.56,7.81,67900,7.81
2014-12-02,7.69,7.98,7.55,7.85,69100,7.85
2014-12-01,7.71,7.85,7.54,7.59,82100,7.59
2014-11-28,7.93,7.99,7.56,7.71,42800,7.71
2014-11-26,7.64,7.90,7.39,7.88,43200,7.88
2014-11-25,8.03,8.03,7.32,7.61,103700,7.61
2014-11-24,8.04,8.46,7.68,7.99,153400,7.99
2014-11-21,8.06,8.14,7.93,8.05,33800,8.05
2014-11-20,7.58,7.97,7.48,7.89,73000,7.89
2014-11-19,7.98,8.07,7.60,7.62,73500,7.62
2014-11-18,8.00,8.19,7.84,8.03,50400,8.03
2014-11-17,7.81,8.25,7.77,7.97,85500,7.97
2014-11-14,8.04,8.04,7.80,7.80,68000,7.80
2014-11-13,8.27,8.44,8.00,8.01,66500,8.01
2014-11-12,7.96,8.33,7.92,8.28,77000,8.28
2014-11-11,7.90,8.24,7.80,8.16,91200,8.16
2014-11-10,7.42,7.97,7.34,7.93,92300,7.93
2014-11-07,7.38,7.69,7.12,7.43,169700,7.43
2014-11-06,7.97,8.02,7.19,7.39,261900,7.39
2014-11-05,8.46,8.60,7.79,7.89,108000,7.89
2014-11-04,8.95,9.12,8.34,8.38,131200,8.38
2014-11-03,8.78,9.31,8.78,8.94,97400,8.94
2014-10-31,9.04,9.09,8.53,8.82,154400,8.82
2014-10-30,8.30,8.84,8.22,8.83,90000,8.83
2014-10-29,8.11,8.47,7.84,8.34,92000,8.34
2014-10-28,7.64,8.07,7.47,8.07,101900,8.07
2014-10-27,7.85,7.85,7.25,7.56,101600,7.56
2014-10-24,7.41,7.96,7.34,7.93,77000,7.93
2014-10-23,7.20,7.55,7.17,7.39,117700,7.39
2014-10-22,7.26,7.53,7.15,7.20,77800,7.20
2014-10-21,7.34,7.44,7.20,7.26,77300,7.26
2014-10-20,7.12,7.50,7.12,7.36,206100,7.36
2014-10-17,7.57,7.63,7.16,7.18,87400,7.18
2014-10-16,7.06,7.58,7.02,7.44,186400,7.44
2014-10-15,7.18,7.30,6.86,7.19,284200,7.19
2014-10-14,7.34,7.34,6.90,7.26,179400,7.26
2014-10-13,7.05,7.37,6.51,7.20,167100,7.20
2014-10-10,7.18,7.33,6.99,7.07,146100,7.07
2014-10-09,7.55,7.55,6.83,7.26,241800,7.26
2014-10-08,7.48,7.71,7.15,7.52,141200,7.52
2014-10-07,7.69,7.76,7.35,7.49,153800,7.49
2014-10-06,8.10,8.10,7.61,7.69,103200,7.69
2014-10-03,8.31,8.31,7.95,8.07,205400,8.07
2014-10-02,8.10,8.36,7.71,8.25,191700,8.25
2014-10-01,8.32,8.49,8.02,8.07,109400,8.07
2014-09-30,8.80,8.88,8.26,8.33,146100,8.33
2014-09-29,8.33,8.94,8.26,8.77,134000,8.77
2014-09-26,8.57,8.64,8.22,8.44,110800,8.44
2014-09-25,8.70,8.72,8.39,8.49,100000,8.49
2014-09-24,8.56,8.65,8.42,8.62,123300,8.62
2014-09-23,8.80,8.87,8.52,8.56,112800,8.56
2014-09-22,8.51,8.84,8.45,8.72,115300,8.72
2014-09-19,9.23,9.23,8.50,8.69,165600,8.69
2014-09-18,9.21,9.35,9.00,9.16,496600,9.16
2014-09-17,8.86,9.24,8.77,9.16,103200,9.16
2014-09-16,8.60,8.96,8.40,8.73,63300,8.73
2014-09-15,9.03,9.03,8.51,8.61,169800,8.61
2014-09-12,9.31,9.49,8.75,9.05,167100,9.05
2014-09-11,9.31,9.59,9.31,9.36,115900,9.36
2014-09-10,9.44,9.49,9.19,9.41,42900,9.41
2014-09-09,9.58,9.70,9.20,9.44,91300,9.44
2014-09-08,9.34,9.71,9.10,9.61,57200,9.61
2014-09-05,9.30,9.44,8.94,9.26,73600,9.26
2014-09-04,9.50,9.59,9.32,9.35,38800,9.35
2014-09-03,9.60,9.77,9.43,9.49,129200,9.49
2014-09-02,9.39,9.77,9.33,9.56,88100,9.56
2014-08-29,9.33,9.43,9.16,9.39,95100,9.39
2014-08-28,9.33,9.46,9.14,9.29,103400,9.29
2014-08-27,9.78,9.88,9.15,9.39,132500,9.39
2014-08-26,9.39,9.83,9.39,9.79,183600,9.79
2014-08-25,9.22,9.36,8.75,9.33,101600,9.33
2014-08-22,8.79,9.28,8.62,9.19,127700,9.19
2014-08-21,8.96,8.96,8.57,8.80,78100,8.80
2014-08-20,9.20,9.37,8.91,8.95,75800,8.95
2014-08-19,9.28,9.50,9.08,9.26,76100,9.26
2014-08-18,9.11,9.25,8.90,9.23,81500,9.23
2014-08-15,9.00,9.38,8.91,9.01,120400,9.01
