Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,24.82,24.98,24.68,24.83,59100,24.83
2015-04-07,24.68,25.03,24.61,24.79,82500,24.79
2015-04-06,24.88,25.17,24.49,24.73,75300,24.73
2015-04-02,24.84,25.41,24.64,25.11,77700,25.11
2015-04-01,24.51,24.94,24.21,24.92,82000,24.92
2015-03-31,24.19,24.65,24.11,24.58,68900,24.58
2015-03-30,24.25,24.58,24.21,24.42,54200,24.42
2015-03-27,23.96,24.19,23.75,24.06,51100,24.06
2015-03-26,24.06,24.30,23.98,24.02,82800,24.02
2015-03-25,24.65,24.65,24.06,24.20,180600,24.20
2015-03-24,24.44,24.82,24.25,24.67,157100,24.67
2015-03-23,24.38,24.93,24.19,24.41,173500,24.41
2015-03-20,24.36,24.73,24.29,24.32,81100,24.32
2015-03-19,24.38,24.62,23.90,24.34,95800,24.34
2015-03-18,23.98,24.47,23.78,24.36,73500,24.36
2015-03-17,23.91,24.32,23.91,24.17,68700,24.17
2015-03-16,24.71,24.91,23.84,24.17,81500,24.17
2015-03-13,24.53,24.73,24.01,24.53,66100,24.53
2015-03-12,23.21,24.57,23.21,24.48,94300,24.48
2015-03-11,23.30,23.60,22.75,23.16,104500,23.16
2015-03-10,23.33,23.95,22.93,23.34,85000,23.34
2015-03-09,23.16,23.80,23.15,23.64,84200,23.64
2015-03-06,23.13,23.69,22.61,23.16,77600,23.16
2015-03-05,23.64,23.72,23.27,23.35,40700,23.35
2015-03-04,23.77,23.98,23.30,23.61,81300,23.61
2015-03-03,24.32,24.63,23.70,23.81,71500,23.81
2015-03-02,23.83,24.93,23.83,24.78,115100,24.78
2015-02-27,24.23,24.31,23.83,23.94,45800,23.94
2015-02-26,24.02,24.41,23.93,24.24,60700,24.24
2015-02-25,24.52,24.89,23.83,24.11,81200,24.11
2015-02-24,23.00,24.84,22.59,24.61,330600,24.61
2015-02-23,23.12,23.71,23.06,23.56,65100,23.56
2015-02-20,23.63,23.80,23.17,23.21,139800,23.21
2015-02-19,23.52,23.90,23.48,23.57,28500,23.57
2015-02-18,23.31,23.78,23.31,23.63,37400,23.63
2015-02-17,23.39,23.90,23.27,23.42,60200,23.42
2015-02-13,23.23,23.48,23.08,23.30,32300,23.30
2015-02-12,23.02,23.40,22.89,23.27,58200,23.27
2015-02-11,22.87,23.09,22.64,22.89,42600,22.89
2015-02-10,23.24,23.52,22.66,22.93,37800,22.93
2015-02-09,23.22,23.66,22.86,23.03,50700,23.03
2015-02-06,23.50,23.79,23.08,23.23,56200,23.23
2015-02-05,23.19,23.68,23.19,23.39,61800,23.39
2015-02-04,23.03,23.77,22.96,23.05,87700,23.05
2015-02-03,22.60,23.33,22.53,23.19,53700,23.06
2015-02-02,22.28,22.66,21.99,22.60,112800,22.47
2015-01-30,22.70,22.94,22.14,22.16,78100,22.04
2015-01-29,22.46,22.99,22.30,22.95,44000,22.82
2015-01-28,22.69,22.82,22.01,22.48,93800,22.35
2015-01-27,22.91,23.06,22.60,22.65,70900,22.52
2015-01-26,22.82,23.27,22.30,23.14,59800,23.01
2015-01-23,22.98,22.98,22.69,22.81,46700,22.68
2015-01-22,22.52,22.93,22.22,22.89,121800,22.76
2015-01-21,22.61,22.87,22.41,22.49,65500,22.36
2015-01-20,22.63,23.18,22.36,22.73,52900,22.60
2015-01-16,22.72,23.24,22.25,22.70,182500,22.57
2015-01-15,23.12,23.12,22.23,22.81,150500,22.68
2015-01-14,22.93,23.37,22.72,23.16,49100,23.03
2015-01-13,22.90,23.69,22.79,23.16,90300,23.03
2015-01-12,22.62,22.82,22.25,22.79,70800,22.66
2015-01-09,22.94,23.00,22.29,22.67,90700,22.54
2015-01-08,23.28,23.35,22.61,22.88,117400,22.75
2015-01-07,22.82,23.22,22.25,23.07,147900,22.94
2015-01-06,22.69,22.75,22.12,22.49,88800,22.36
2015-01-05,22.93,23.24,22.58,22.68,87300,22.55
2015-01-02,23.13,23.43,22.51,23.01,80700,22.88
