Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.16,9.22,9.11,9.17,28000,9.17
2014-12-30,9.10,9.37,9.10,9.26,17400,9.26
2014-12-29,9.39,9.39,9.13,9.20,24700,9.20
2014-12-26,9.43,9.50,9.07,9.25,15400,9.25
2014-12-24,9.50,9.52,9.11,9.45,16000,9.45
2014-12-23,9.81,10.00,9.50,9.51,32300,9.51
2014-12-22,9.64,10.00,9.54,9.65,25400,9.65
2014-12-19,9.15,9.69,9.14,9.51,73800,9.51
2014-12-18,9.10,9.72,9.09,9.23,17600,9.23
2014-12-17,8.94,9.10,8.94,9.03,17900,9.03
2014-12-16,9.00,9.09,8.83,8.83,81700,8.83
2014-12-15,9.00,9.12,8.52,9.07,49300,9.07
2014-12-12,9.15,9.41,8.91,9.13,21700,9.13
2014-12-11,9.65,9.65,9.09,9.28,26800,9.28
2014-12-10,9.79,9.93,9.04,9.24,56400,9.24
2014-12-09,9.78,10.08,9.22,9.75,23100,9.75
2014-12-08,9.99,10.00,9.78,9.83,7200,9.83
2014-12-05,9.77,10.00,9.77,10.00,7900,10.00
2014-12-04,9.97,10.01,9.80,9.84,17800,9.84
2014-12-03,9.98,10.01,9.73,9.97,29000,9.97
2014-12-02,9.86,10.04,9.85,9.98,41600,9.98
2014-12-01,9.95,10.00,9.81,9.81,24400,9.81
2014-11-28,10.14,10.14,10.01,10.03,3300,10.03
2014-11-26,10.15,10.26,9.84,10.15,34200,10.15
2014-11-25,10.38,10.38,10.08,10.19,13700,10.19
2014-11-24,10.33,10.50,10.21,10.41,25400,10.41
2014-11-21,10.59,10.59,10.06,10.34,33700,10.34
2014-11-20,10.48,10.56,10.34,10.45,5900,10.45
2014-11-19,10.55,10.67,10.25,10.48,27500,10.48
2014-11-18,10.61,10.75,10.17,10.52,32000,10.52
2014-11-17,10.84,10.88,10.54,10.66,13700,10.66
2014-11-14,11.14,11.14,10.64,11.00,24100,11.00
2014-11-13,10.65,11.24,10.65,11.05,30100,11.05
2014-11-12,10.89,10.95,10.74,10.83,13400,10.83
2014-11-11,10.99,11.05,10.50,10.90,28300,10.90
2014-11-10,11.10,11.10,10.90,10.99,34400,10.99
2014-11-07,11.03,11.24,11.03,11.06,66400,11.06
2014-11-06,10.82,11.05,10.70,10.97,14400,10.97
2014-11-05,11.50,11.50,10.67,10.96,48400,10.96
2014-11-04,11.39,11.50,11.26,11.40,55900,11.40
2014-11-03,11.25,11.63,11.04,11.50,65300,11.50
2014-10-31,11.06,11.32,10.89,11.25,73200,11.25
2014-10-30,10.58,11.38,10.50,10.90,222900,10.90
2014-10-29,10.00,10.95,9.91,10.62,306000,10.62
2014-10-28,8.97,9.62,8.91,9.28,56100,9.28
2014-10-27,8.95,9.04,8.92,8.98,32700,8.98
2014-10-24,9.25,9.46,8.95,9.00,26300,9.00
2014-10-23,9.20,9.46,9.20,9.26,12200,9.26
2014-10-22,9.69,9.69,9.05,9.05,20900,9.05
2014-10-21,8.54,9.70,8.53,9.60,19500,9.60
2014-10-20,9.22,9.26,8.99,9.09,18300,9.09
2014-10-17,8.90,9.50,8.90,9.27,24200,9.27
2014-10-16,8.59,9.27,8.56,8.88,21000,8.88
2014-10-15,8.59,8.79,8.05,8.66,18600,8.66
2014-10-14,8.86,8.89,8.60,8.60,43100,8.60
2014-10-13,8.92,9.00,8.74,8.87,21600,8.87
2014-10-10,9.00,9.15,8.88,8.95,35200,8.95
2014-10-09,9.34,9.41,9.00,9.09,42600,9.09
2014-10-08,9.70,9.71,9.33,9.34,13400,9.34
2014-10-07,9.80,9.87,9.68,9.73,38300,9.73
2014-10-06,9.77,9.97,9.71,9.95,61100,9.95
2014-10-03,9.63,9.88,9.45,9.80,16300,9.80
2014-10-02,9.89,9.90,9.51,9.63,24600,9.63
2014-10-01,9.78,10.00,9.61,9.89,76900,9.89
2014-09-30,9.52,9.87,9.37,9.85,44100,9.85
2014-09-29,9.67,9.67,9.15,9.63,89700,9.63
2014-09-26,10.06,10.16,9.77,9.83,20900,9.83
2014-09-25,9.94,10.17,9.84,10.02,30200,10.02
2014-09-24,9.86,10.25,9.86,10.02,40200,10.02
2014-09-23,9.93,10.10,9.85,9.88,66800,9.88
2014-09-22,10.29,10.30,9.90,9.98,79500,9.98
2014-09-19,10.07,10.47,10.01,10.44,60700,10.44
2014-09-18,10.05,10.24,10.02,10.16,19200,10.16
2014-09-17,10.45,10.45,9.91,10.07,49500,10.07
2014-09-16,10.51,10.64,10.38,10.46,24600,10.46
2014-09-15,10.95,11.00,10.52,10.63,23500,10.63
2014-09-12,11.00,11.16,10.84,11.02,47800,11.02
2014-09-11,11.08,11.23,11.03,11.07,18500,11.07
2014-09-10,11.20,11.20,10.95,11.19,32400,11.19
2014-09-09,11.14,11.25,10.74,11.20,65200,11.20
2014-09-08,11.12,11.33,10.80,11.18,82200,11.18
2014-09-05,11.37,11.37,11.09,11.17,39400,11.17
2014-09-04,10.98,11.40,10.94,11.31,67700,11.31
2014-09-03,11.04,11.04,10.67,10.99,82000,10.99
2014-09-02,10.48,11.35,10.37,11.11,178100,11.11
2014-08-29,10.58,10.63,10.44,10.55,60900,10.55
2014-08-28,10.55,10.75,10.40,10.57,40600,10.57
2014-08-27,10.43,10.65,10.24,10.64,87000,10.64
2014-08-26,10.59,10.59,10.35,10.45,69000,10.45
2014-08-25,10.40,10.75,10.40,10.59,104300,10.59
2014-08-22,10.36,10.49,10.12,10.39,76400,10.39
2014-08-21,10.49,10.49,10.16,10.39,37700,10.39
2014-08-20,10.07,10.79,10.07,10.49,131500,10.49
2014-08-19,9.79,10.17,9.79,10.09,100500,10.09
2014-08-18,9.04,9.80,8.96,9.77,83400,9.77
2014-08-15,8.97,9.03,8.95,8.99,34900,8.99
2014-08-14,8.65,9.00,8.55,8.95,30100,8.95
2014-08-13,8.86,8.86,8.76,8.76,21800,8.76
2014-08-12,8.83,8.92,8.76,8.81,56100,8.81
2014-08-11,8.75,8.97,8.75,8.80,42400,8.80
2014-08-08,8.92,8.95,8.74,8.76,21300,8.76
2014-08-07,9.11,9.11,8.82,8.98,84100,8.98
2014-08-06,8.95,9.09,8.75,9.00,123800,9.00
2014-08-05,9.14,9.26,8.80,9.01,82500,9.01
2014-08-04,9.25,9.38,9.05,9.19,128800,9.19
2014-08-01,9.13,9.27,8.95,9.22,200300,9.22
2014-07-31,9.20,9.20,8.76,9.12,146900,9.12
2014-07-30,8.67,9.49,8.67,9.09,133500,9.09
2014-07-29,8.35,8.66,8.35,8.59,59700,8.59
2014-07-28,8.25,8.49,7.96,8.34,66800,8.34
2014-07-25,8.19,8.38,7.96,8.25,48400,8.25
2014-07-24,8.49,8.52,8.13,8.23,52800,8.23
2014-07-23,8.50,8.59,8.41,8.52,41700,8.52
2014-07-22,8.34,8.65,8.23,8.50,38300,8.50
2014-07-21,8.60,8.71,8.03,8.30,78200,8.30
2014-07-18,8.62,8.85,8.50,8.58,57100,8.58
2014-07-17,8.53,8.89,8.50,8.53,85400,8.53
2014-07-16,7.80,9.20,7.77,8.70,783800,8.70
2014-07-15,7.33,7.34,7.11,7.13,34100,7.13
2014-07-14,7.16,7.48,7.14,7.32,68300,7.32
2014-07-11,6.97,7.19,6.90,7.05,43800,7.05
2014-07-10,6.80,6.97,6.72,6.94,29200,6.94
2014-07-09,6.72,6.95,6.65,6.91,50500,6.91
2014-07-08,6.81,6.81,6.50,6.65,40700,6.65
2014-07-07,7.07,7.13,6.71,6.79,31000,6.79
2014-07-03,7.15,7.19,7.01,7.03,21000,7.03
2014-07-02,6.75,7.23,6.75,7.10,86300,7.10
2014-07-01,6.42,6.79,6.42,6.75,84400,6.75
2014-06-30,6.16,6.50,6.06,6.41,66600,6.41
2014-06-27,6.22,6.22,6.06,6.17,32500,6.17
2014-06-26,6.30,6.32,6.18,6.25,50500,6.25
2014-06-25,5.99,6.44,5.99,6.33,183100,6.33
2014-06-24,6.10,6.25,6.00,6.05,69200,6.05
2014-06-23,6.44,6.44,5.94,6.07,112700,6.07
2014-06-20,6.70,6.70,6.42,6.43,83400,6.43
2014-06-19,6.82,6.82,6.52,6.68,32100,6.68
2014-06-18,6.82,6.93,6.71,6.82,41100,6.82
2014-06-17,6.75,6.88,6.65,6.85,41200,6.85
2014-06-16,6.64,6.81,6.50,6.73,33400,6.73
2014-06-13,6.71,6.76,6.57,6.61,18800,6.61
2014-06-12,7.00,7.00,6.76,6.76,26600,6.76
2014-06-11,6.84,7.02,6.75,6.96,50400,6.96
