Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,39.75,39.75,39.35,39.48,177300,39.48
2014-12-30,39.39,39.65,39.35,39.53,109300,39.53
2014-12-29,39.52,39.70,38.94,39.62,127000,39.62
2014-12-26,39.32,39.58,39.12,39.49,91200,39.49
2014-12-24,39.16,39.32,38.70,39.18,116400,39.18
2014-12-23,38.06,38.95,37.92,38.90,154500,38.90
2014-12-22,37.35,37.80,37.06,37.79,159400,37.79
2014-12-19,37.57,38.30,36.92,37.34,382900,37.34
2014-12-18,36.53,38.04,36.43,37.56,311500,37.56
2014-12-17,34.69,35.79,34.19,35.76,197100,35.76
2014-12-16,34.52,35.74,34.51,34.69,171600,34.69
2014-12-15,34.10,35.00,33.90,34.54,160100,34.54
2014-12-12,34.03,34.30,33.59,33.93,222300,33.93
2014-12-11,34.43,35.19,34.07,34.51,170400,34.51
2014-12-10,34.92,35.42,34.11,34.32,166300,34.32
2014-12-09,33.85,35.13,33.74,35.05,336100,35.05
2014-12-08,35.05,35.44,33.91,34.28,227200,34.28
2014-12-05,34.86,35.52,34.41,35.28,123300,35.28
2014-12-04,35.83,36.57,34.39,34.85,319200,34.85
2014-12-03,35.61,36.41,35.29,35.96,137800,35.96
2014-12-02,35.88,36.31,35.31,35.65,155900,35.65
2014-12-01,36.75,37.15,35.74,35.95,203200,35.95
2014-11-28,36.97,37.24,36.46,36.95,216800,36.95
2014-11-26,36.88,37.15,36.52,36.91,141500,36.91
2014-11-25,36.60,36.92,35.92,36.91,263500,36.91
2014-11-24,36.01,36.80,35.87,36.52,223800,36.52
2014-11-21,35.80,36.32,35.55,36.02,126800,36.02
2014-11-20,34.34,35.42,34.34,35.23,113700,35.23
2014-11-19,35.88,35.88,34.39,34.52,290700,34.52
2014-11-18,35.99,36.31,35.42,35.90,136900,35.90
2014-11-17,36.57,36.82,35.65,35.88,148400,35.88
2014-11-14,37.10,37.31,36.42,36.62,201800,36.62
2014-11-13,37.62,37.98,36.89,37.03,100800,37.03
2014-11-12,37.11,38.11,37.11,37.68,133500,37.68
2014-11-11,37.54,37.63,36.63,37.26,240900,37.26
2014-11-10,36.86,38.10,36.86,37.59,128500,37.59
2014-11-07,38.26,38.26,37.41,37.50,94100,37.50
2014-11-06,37.70,38.81,37.70,38.25,194500,38.25
2014-11-05,36.75,37.95,36.44,37.83,217200,37.83
2014-11-04,36.20,36.83,35.99,36.37,158000,36.37
2014-11-03,37.18,37.71,35.95,36.26,157200,36.26
2014-10-31,36.45,37.56,36.45,37.05,188100,37.05
2014-10-30,34.92,36.06,34.71,35.78,156400,35.78
2014-10-29,35.51,35.96,34.34,34.95,160500,34.95
2014-10-28,33.69,35.75,33.69,35.58,196400,35.58
2014-10-27,33.74,33.93,33.40,33.62,90400,33.62
2014-10-24,33.48,33.87,33.27,33.84,92700,33.84
2014-10-23,33.24,33.97,33.02,33.47,183600,33.47
2014-10-22,34.11,34.63,32.75,33.02,275400,33.02
2014-10-21,33.49,34.45,33.49,33.95,147300,33.95
2014-10-20,32.76,33.49,32.76,33.29,228800,33.29
2014-10-17,33.95,36.33,32.83,32.94,231900,32.94
2014-10-16,34.67,35.37,32.90,33.50,233800,33.50
