Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,80.83,81.50,80.39,81.06,25100,81.06
2015-04-07,81.71,82.00,80.20,80.63,27100,80.63
2015-04-06,81.07,81.79,80.85,81.50,25300,81.50
2015-04-02,82.29,83.03,80.61,81.35,31200,81.35
2015-04-01,81.93,82.93,81.69,82.52,45300,82.52
2015-03-31,82.34,82.67,81.15,82.05,25700,82.05
2015-03-30,81.92,83.01,81.67,82.31,28600,82.31
2015-03-27,80.90,81.50,80.60,81.30,27900,81.30
2015-03-26,81.25,81.53,80.61,81.10,37000,81.10
2015-03-25,81.78,82.91,80.51,81.22,23300,81.22
2015-03-24,81.87,87.89,80.38,82.30,34900,82.30
2015-03-23,81.70,83.62,81.70,82.05,41100,82.05
2015-03-20,80.62,81.76,79.78,81.66,71400,81.66
2015-03-19,79.68,81.39,79.46,80.35,30100,80.35
2015-03-18,79.60,80.36,78.49,80.08,33200,80.08
2015-03-17,80.99,80.99,79.25,79.64,42700,79.64
2015-03-16,79.79,81.04,77.86,80.63,23100,80.63
2015-03-13,79.92,80.00,78.41,79.25,19900,79.25
2015-03-12,79.16,80.36,79.15,79.75,35000,79.75
2015-03-11,77.16,78.97,77.16,78.68,34900,78.68
2015-03-10,78.55,78.61,77.25,77.44,19200,77.01
2015-03-09,78.26,79.12,78.09,79.10,25400,78.66
2015-03-06,77.40,78.51,77.20,78.06,34200,77.63
2015-03-05,77.83,78.53,76.92,78.04,23600,77.61
2015-03-04,77.61,78.88,76.75,77.54,20300,77.11
2015-03-03,77.49,78.58,77.46,78.04,53600,77.61
2015-03-02,77.71,78.62,77.15,78.24,76500,77.81
2015-02-27,76.01,77.83,75.45,77.55,124500,77.12
2015-02-26,74.73,80.36,74.73,75.78,55800,75.36
2015-02-25,74.99,75.99,73.55,74.38,30000,73.97
2015-02-24,74.98,76.80,74.69,75.35,24200,74.93
2015-02-23,75.55,76.13,74.03,74.60,20000,74.19
2015-02-20,75.00,75.47,73.88,75.47,54100,75.05
2015-02-19,74.97,75.15,74.32,74.80,10800,74.38
2015-02-18,74.50,75.07,73.52,74.97,30900,74.55
2015-02-17,74.36,75.13,73.96,74.47,16600,74.06
2015-02-13,74.76,74.82,73.01,73.93,24000,73.52
2015-02-12,73.26,75.02,72.51,74.94,24200,74.52
2015-02-11,72.07,73.69,72.07,73.14,16200,72.73
2015-02-10,74.02,74.02,72.58,72.88,18900,72.48
2015-02-09,74.50,74.50,73.30,73.67,12900,73.26
2015-02-06,74.28,74.70,73.75,74.70,43600,74.29
2015-02-05,72.84,74.62,72.80,74.09,18600,73.68
2015-02-04,72.06,73.75,71.83,72.83,35700,72.43
2015-02-03,71.81,73.90,70.50,72.25,37800,71.85
2015-02-02,70.19,72.51,70.15,71.80,21400,71.40
2015-01-30,72.26,73.25,69.87,70.27,34700,69.88
2015-01-29,71.42,72.92,71.03,72.86,33600,72.46
2015-01-28,73.79,74.00,71.06,71.66,19900,71.26
2015-01-27,73.50,74.18,72.87,73.27,10000,72.86
2015-01-26,73.43,74.29,72.49,73.87,19300,73.46
2015-01-23,73.20,74.04,72.74,73.24,12000,72.83
2015-01-22,71.32,73.06,70.69,72.77,58100,72.37
2015-01-21,73.34,73.80,70.21,71.10,34600,70.71
2015-01-20,75.67,76.17,73.52,74.01,54500,73.60
2015-01-16,74.03,76.40,74.03,75.77,51300,75.35
2015-01-15,75.84,75.84,73.59,74.34,47900,73.93
2015-01-14,75.17,76.35,74.02,75.53,21700,75.11
2015-01-13,75.97,77.61,75.30,75.79,47000,75.37
2015-01-12,75.48,75.90,74.43,75.27,24200,74.85
2015-01-09,76.20,76.60,74.43,75.61,22800,75.19
2015-01-08,76.50,77.00,75.66,76.00,42500,75.58
2015-01-07,75.10,76.22,72.86,75.90,39000,75.48
2015-01-06,76.00,76.11,73.40,74.71,36000,74.30
2015-01-05,75.67,76.85,75.13,75.99,33200,75.57
2015-01-02,77.71,77.71,75.48,75.73,36400,75.31
