Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.96,9.98,9.70,9.75,791200,9.75
2014-12-30,10.10,10.18,9.94,9.96,391500,9.96
2014-12-29,9.93,10.16,9.90,10.15,622300,10.15
2014-12-26,9.92,9.94,9.78,9.93,239700,9.93
2014-12-24,9.69,9.94,9.68,9.85,198400,9.85
2014-12-23,9.72,9.80,9.67,9.72,308700,9.72
2014-12-22,9.75,9.84,9.63,9.66,355900,9.66
2014-12-19,9.84,9.90,9.70,9.76,1455600,9.76
2014-12-18,9.81,9.94,9.75,9.87,789000,9.87
2014-12-17,9.40,9.76,9.21,9.70,745400,9.70
2014-12-16,9.18,9.49,9.15,9.42,700000,9.42
2014-12-15,9.19,9.26,9.02,9.17,540300,9.17
2014-12-12,9.07,9.32,9.07,9.16,445700,9.16
2014-12-11,9.09,9.28,9.01,9.20,598300,9.20
2014-12-10,9.30,9.38,9.01,9.06,486800,9.06
2014-12-09,8.97,9.32,8.90,9.32,526300,9.32
2014-12-08,9.12,9.37,9.06,9.08,450900,9.08
2014-12-05,9.01,9.25,9.00,9.12,483100,9.12
2014-12-04,9.14,9.19,9.00,9.00,519200,9.00
2014-12-03,9.24,9.27,9.12,9.12,743600,9.12
2014-12-02,9.00,9.27,8.94,9.27,837100,9.27
2014-12-01,9.49,9.53,9.11,9.17,958600,9.17
2014-11-28,9.74,9.81,9.54,9.55,372900,9.55
2014-11-26,9.78,9.83,9.66,9.71,383800,9.71
2014-11-25,9.70,9.94,9.69,9.76,521400,9.76
2014-11-24,9.38,9.67,9.32,9.67,485000,9.67
2014-11-21,9.75,9.75,9.32,9.36,458300,9.36
2014-11-20,9.25,9.54,9.17,9.44,490300,9.44
2014-11-19,9.61,9.68,9.12,9.27,1519600,9.27
2014-11-18,9.85,9.96,9.61,9.66,612600,9.66
2014-11-17,10.12,10.17,9.84,9.84,572100,9.84
2014-11-14,10.02,10.15,9.98,10.14,514600,10.14
2014-11-13,10.09,10.25,10.02,10.02,689500,10.02
2014-11-12,9.94,10.07,9.80,10.03,832100,10.03
2014-11-11,9.90,10.07,9.79,9.95,864500,9.95
2014-11-10,9.76,9.96,9.70,9.95,681800,9.95
2014-11-07,9.90,9.95,9.73,9.86,768500,9.86
2014-11-06,9.68,9.95,9.57,9.93,986800,9.93
2014-11-05,10.38,10.43,9.63,9.92,1525600,9.92
2014-11-04,10.18,10.50,10.16,10.32,1829100,10.32
2014-11-03,9.51,10.24,9.51,10.18,2680000,10.18
2014-10-31,9.41,9.65,9.40,9.50,1714300,9.50
2014-10-30,9.40,9.40,9.08,9.20,1540500,9.20
2014-10-29,9.16,9.16,8.98,9.08,592000,9.08
2014-10-28,9.10,9.20,9.01,9.10,819000,9.10
2014-10-27,8.96,9.07,8.89,9.05,495200,9.05
2014-10-24,9.06,9.13,8.86,8.99,494900,8.99
2014-10-23,9.12,9.19,8.94,9.02,862400,9.02
2014-10-22,9.10,9.23,8.99,9.02,676900,9.02
2014-10-21,9.04,9.25,9.03,9.10,738700,9.10
2014-10-20,8.93,9.10,8.67,8.99,545600,8.99
2014-10-17,9.11,9.11,8.89,8.93,710100,8.93
2014-10-16,8.67,9.03,8.65,8.98,644600,8.98
2014-10-15,8.32,8.80,8.29,8.77,774000,8.77
2014-10-14,8.23,8.60,8.20,8.46,634100,8.46
2014-10-13,8.33,8.47,8.15,8.17,834800,8.17
2014-10-10,8.42,8.68,8.28,8.29,645600,8.29
2014-10-09,8.85,8.94,8.48,8.48,526100,8.48
2014-10-08,8.81,8.90,8.59,8.89,563500,8.89
2014-10-07,8.67,8.90,8.45,8.86,755400,8.86
2014-10-06,8.71,8.89,8.64,8.72,355800,8.72
2014-10-03,8.87,8.92,8.67,8.71,396100,8.71
2014-10-02,8.60,8.77,8.44,8.77,520400,8.77
2014-10-01,8.81,8.85,8.55,8.61,645400,8.61
2014-09-30,8.94,9.01,8.85,8.85,859000,8.85
2014-09-29,8.83,8.96,8.80,8.92,636300,8.92
2014-09-26,8.75,9.01,8.71,8.95,479400,8.95
2014-09-25,8.96,8.96,8.70,8.74,613200,8.74
2014-09-24,8.91,8.97,8.82,8.90,348800,8.90
2014-09-23,8.86,9.00,8.84,8.91,593000,8.91
2014-09-22,9.17,9.17,8.79,8.95,986100,8.95
2014-09-19,8.89,9.05,8.80,9.01,1661600,9.01
2014-09-18,8.89,8.95,8.80,8.87,616400,8.87
2014-09-17,8.86,9.00,8.81,8.88,445300,8.88
2014-09-16,8.83,8.95,8.75,8.85,600400,8.85
2014-09-15,9.22,9.32,8.70,8.83,1132000,8.83
2014-09-12,8.98,9.24,8.91,9.24,1237700,9.24
2014-09-11,8.95,9.04,8.87,8.96,852800,8.96
2014-09-10,9.02,9.05,8.88,9.00,629700,9.00
2014-09-09,9.11,9.11,8.85,8.98,767100,8.98
2014-09-08,9.15,9.26,9.05,9.14,387000,9.14
2014-09-05,9.13,9.29,9.10,9.16,431900,9.16
2014-09-04,9.14,9.35,9.05,9.17,616200,9.17
2014-09-03,9.35,9.39,9.05,9.08,579800,9.08
2014-09-02,9.41,9.49,9.22,9.32,544600,9.32
2014-08-29,9.13,9.45,9.11,9.40,769500,9.40
2014-08-28,9.29,9.31,9.06,9.12,477700,9.12
2014-08-27,9.38,9.40,9.30,9.30,318100,9.30
2014-08-26,9.29,9.40,9.25,9.39,432300,9.39
2014-08-25,9.13,9.54,9.09,9.26,1161300,9.26
2014-08-22,9.08,9.15,9.00,9.11,574500,9.11
2014-08-21,9.17,9.17,8.96,9.10,650400,9.10
2014-08-20,9.05,9.18,9.03,9.17,540600,9.17
2014-08-19,9.10,9.19,9.07,9.12,1077700,9.12
2014-08-18,8.80,9.19,8.75,9.14,1786200,9.14
2014-08-15,8.71,8.80,8.54,8.73,729200,8.73
2014-08-14,8.59,8.77,8.39,8.63,794500,8.63
2014-08-13,8.40,8.58,8.34,8.57,688600,8.57
