Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,35.37,36.24,35.02,35.97,221000,35.97
2015-04-07,34.00,35.69,33.56,35.30,247300,35.30
2015-04-06,33.52,33.99,33.13,33.85,160700,33.85
2015-04-02,32.61,33.71,32.42,33.60,164100,33.60
2015-04-01,32.50,32.66,32.01,32.31,97200,32.31
2015-03-31,32.07,32.68,32.01,32.61,82500,32.61
2015-03-30,31.88,32.38,31.88,32.22,68000,32.22
2015-03-27,31.45,31.82,31.45,31.77,72700,31.77
2015-03-26,31.50,31.74,31.34,31.52,70000,31.52
2015-03-25,32.27,32.28,31.59,31.63,74500,31.63
2015-03-24,32.25,32.45,32.08,32.25,49400,32.25
2015-03-23,32.26,32.54,32.17,32.29,63700,32.29
2015-03-20,32.12,32.31,31.96,32.25,205000,32.25
2015-03-19,32.13,32.37,31.82,31.89,61100,31.89
2015-03-18,32.05,32.49,31.86,32.25,107800,32.25
2015-03-17,31.98,32.17,31.53,32.09,149700,32.09
2015-03-16,31.78,32.02,31.58,31.97,122900,31.97
2015-03-13,31.53,31.65,30.84,31.50,97900,31.50
2015-03-12,30.89,31.63,30.89,31.49,144500,31.49
2015-03-11,30.61,30.75,30.25,30.65,140400,30.65
2015-03-10,30.76,30.88,30.32,30.51,64300,30.51
2015-03-09,31.43,31.53,30.91,30.99,79300,30.99
2015-03-06,31.42,32.10,31.26,31.33,160200,31.33
2015-03-05,31.60,31.86,31.20,31.68,99300,31.68
2015-03-04,31.52,31.69,31.19,31.59,124200,31.59
2015-03-03,31.37,31.68,31.31,31.54,121500,31.54
2015-03-02,31.06,31.71,31.06,31.41,62700,31.41
2015-02-27,31.12,31.39,31.00,31.03,85300,31.03
2015-02-26,31.30,31.33,31.02,31.14,82200,31.14
2015-02-25,31.30,31.39,31.09,31.30,78500,31.30
2015-02-24,31.74,31.92,31.18,31.27,80200,31.27
2015-02-23,31.94,31.94,31.53,31.69,79300,31.69
2015-02-20,31.74,32.00,31.50,31.98,75900,31.98
2015-02-19,31.53,31.86,31.36,31.66,81500,31.66
2015-02-18,30.97,31.69,30.89,31.55,123800,31.55
2015-02-17,31.16,31.43,30.92,31.06,140900,31.06
2015-02-13,31.13,31.47,30.95,31.08,165300,31.08
2015-02-12,31.21,31.36,30.88,31.05,141300,31.05
2015-02-11,31.58,31.79,30.99,31.05,159700,31.05
2015-02-10,31.71,32.06,31.40,31.60,143900,31.60
2015-02-09,31.70,32.01,31.32,31.41,156900,31.41
2015-02-06,31.66,32.25,31.56,31.76,200300,31.76
2015-02-05,31.09,31.72,30.94,31.65,380000,31.65
2015-02-04,30.57,31.15,29.91,30.90,221400,30.90
2015-02-03,29.71,30.73,29.28,30.72,160800,30.72
2015-02-02,29.25,29.70,28.86,29.69,147000,29.69
2015-01-30,29.80,31.11,29.06,29.09,190800,29.09
2015-01-29,30.15,30.30,29.41,30.07,186400,30.07
2015-01-28,30.39,31.16,30.06,30.18,160000,30.18
2015-01-27,30.23,30.37,28.54,30.14,256000,30.14
2015-01-26,30.44,30.95,30.11,30.71,124500,30.71
2015-01-23,31.20,31.20,30.43,30.52,57000,30.52
2015-01-22,30.27,31.29,30.08,31.11,124600,31.11
2015-01-21,30.02,30.46,29.79,30.06,75700,30.06
2015-01-20,30.62,31.27,29.94,30.09,60800,30.09
2015-01-16,29.81,30.56,29.78,30.53,77600,30.53
2015-01-15,30.53,30.53,29.87,29.94,100200,29.94
2015-01-14,30.04,30.64,30.03,30.52,71200,30.52
2015-01-13,30.98,31.08,30.01,30.33,125900,30.33
2015-01-12,30.38,30.91,30.29,30.72,95100,30.72
2015-01-09,30.91,30.95,30.25,30.45,90500,30.45
2015-01-08,31.00,31.43,30.85,30.98,115700,30.98
2015-01-07,30.75,30.94,30.40,30.90,86700,30.90
2015-01-06,31.14,31.42,30.42,30.58,98600,30.58
2015-01-05,31.62,31.94,30.93,31.19,128200,31.19
2015-01-02,31.89,32.08,31.15,31.76,85500,31.76
