Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,3.75,3.90,3.75,3.90,6400,3.90
2015-04-07,3.68,3.78,3.68,3.74,13900,3.74
2015-04-06,3.73,3.81,3.67,3.68,75900,3.68
2015-04-02,3.79,3.86,3.66,3.79,51800,3.79
2015-04-01,3.76,3.80,3.73,3.78,5500,3.78
2015-03-31,3.73,3.83,3.73,3.80,12100,3.80
2015-03-30,3.83,3.93,3.76,3.89,2200,3.89
2015-03-27,3.75,3.83,3.75,3.83,5200,3.83
2015-03-26,3.85,3.87,3.72,3.77,35200,3.77
2015-03-25,3.89,3.97,3.80,3.85,51700,3.85
2015-03-24,3.80,4.24,3.67,3.89,82800,3.89
2015-03-23,3.72,3.72,3.50,3.59,115000,3.59
2015-03-20,3.80,3.85,3.72,3.74,21700,3.74
2015-03-19,3.87,3.92,3.76,3.90,35100,3.90
2015-03-18,3.80,3.85,3.69,3.85,13600,3.85
2015-03-17,3.82,3.84,3.70,3.79,18200,3.79
2015-03-16,3.80,3.84,3.75,3.82,9500,3.82
2015-03-13,3.89,3.90,3.73,3.78,11200,3.78
2015-03-12,3.88,3.88,3.76,3.87,5500,3.87
2015-03-11,3.82,3.92,3.80,3.81,7300,3.81
2015-03-10,3.86,3.86,3.77,3.79,2100,3.79
2015-03-09,3.81,3.94,3.80,3.87,16700,3.87
2015-03-06,3.70,3.82,3.65,3.79,36500,3.79
2015-03-05,4.07,4.07,3.65,3.74,38600,3.74
2015-03-04,4.34,4.34,3.99,4.07,4200,4.07
2015-03-03,3.93,4.30,3.93,4.19,4600,4.19
2015-03-02,4.08,4.35,3.92,4.21,26500,4.21
2015-02-27,3.97,4.19,3.96,4.19,8700,4.19
2015-02-26,4.13,4.16,4.07,4.15,4400,4.15
2015-02-25,4.22,4.25,4.10,4.12,24400,4.12
2015-02-24,4.26,4.26,4.15,4.25,5200,4.25
2015-02-23,4.36,4.36,4.18,4.32,14500,4.32
2015-02-20,4.40,4.40,4.36,4.40,4000,4.40
2015-02-19,4.42,4.45,4.34,4.42,24400,4.42
2015-02-18,4.29,4.42,4.29,4.42,36400,4.42
2015-02-17,4.27,4.27,4.16,4.27,25300,4.27
2015-02-13,4.11,4.27,4.11,4.24,25700,4.24
2015-02-12,3.94,4.15,3.94,4.05,45500,4.05
2015-02-11,3.89,3.94,3.88,3.91,12200,3.91
2015-02-10,3.89,3.89,3.80,3.87,18500,3.87
2015-02-09,3.76,3.89,3.76,3.89,16600,3.89
2015-02-06,3.78,3.87,3.68,3.76,11000,3.76
2015-02-05,3.82,3.92,3.76,3.78,44500,3.78
2015-02-04,3.90,3.94,3.73,3.74,20800,3.74
2015-02-03,3.93,3.94,3.90,3.94,10000,3.94
2015-02-02,3.97,3.97,3.80,3.86,31700,3.86
2015-01-30,3.84,3.94,3.78,3.94,7000,3.94
2015-01-29,3.79,3.84,3.75,3.84,13100,3.84
2015-01-28,3.76,3.82,3.74,3.82,18100,3.82
2015-01-27,3.55,3.77,3.55,3.76,16200,3.76
2015-01-26,3.30,3.60,3.25,3.60,40900,3.60
2015-01-23,3.24,3.33,3.24,3.26,16600,3.26
2015-01-22,3.09,3.28,3.09,3.24,32700,3.24
2015-01-21,3.02,3.15,3.02,3.07,19700,3.07
2015-01-20,3.05,3.12,2.95,3.04,15300,3.04
2015-01-16,2.99,3.11,2.99,3.00,14000,3.00
2015-01-15,3.18,3.18,2.97,2.98,22000,2.98
2015-01-14,3.19,3.21,3.11,3.13,4200,3.13
2015-01-13,3.21,3.28,3.10,3.20,35000,3.20
2015-01-12,3.25,3.26,3.11,3.19,23000,3.19
2015-01-09,3.40,3.40,3.13,3.26,12100,3.26
2015-01-08,3.15,3.38,3.03,3.38,47500,3.38
2015-01-07,3.17,3.18,3.05,3.11,14300,3.11
2015-01-06,3.26,3.26,3.00,3.05,44100,3.05
2015-01-05,3.29,3.40,3.25,3.26,32600,3.26
2015-01-02,3.20,3.37,3.10,3.25,40600,3.25
