Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,72.90,72.90,72.90,72.90,300,72.82
2014-12-30,72.70,72.70,72.70,72.70,100,72.62
2014-12-29,72.70,72.70,72.70,72.70,200,72.62
2014-12-26,74.29,74.29,71.53,72.38,500,72.30
2014-12-24,71.51,71.51,71.51,71.51,000,71.43
2014-12-23,71.50,71.51,71.50,71.51,900,71.43
2014-12-22,71.68,78.00,71.68,74.13,500,74.05
2014-12-19,71.77,74.20,70.99,71.20,4700,71.12
2014-12-18,71.78,71.78,70.02,70.02,700,69.94
2014-12-17,71.89,71.89,69.55,69.55,1900,69.47
2014-12-16,71.89,71.89,69.00,70.00,700,69.92
2014-12-15,70.50,71.67,68.50,71.20,2400,71.12
2014-12-12,72.00,72.00,69.49,69.89,6500,69.81
2014-12-11,70.26,74.02,69.30,72.29,9800,72.21
2014-12-10,72.31,72.31,69.10,70.66,1900,70.58
2014-12-09,71.65,71.65,71.65,71.65,000,71.57
2014-12-08,71.65,71.65,71.65,71.65,500,71.57
2014-12-05,73.66,73.66,71.62,72.02,900,71.94
2014-12-04,73.66,73.66,71.50,71.60,6300,71.52
2014-12-03,72.50,72.50,72.50,72.50,000,72.42
2014-12-02,72.39,74.57,72.39,72.50,8800,72.42
2014-12-01,72.25,72.30,71.12,72.25,2800,72.17
2014-11-28,72.40,72.50,72.40,72.50,200,72.42
2014-11-26,73.58,73.58,71.47,72.70,4400,72.62
2014-11-25,73.05,73.66,73.05,73.30,2600,73.14
2014-11-24,71.55,73.61,71.55,73.61,900,73.45
2014-11-21,74.00,74.05,71.57,74.05,3100,73.89
2014-11-20,72.52,72.52,72.52,72.52,000,72.36
2014-11-19,72.06,72.52,72.06,72.52,900,72.36
2014-11-18,72.66,72.69,72.66,72.69,500,72.53
2014-11-17,74.10,74.10,74.10,74.10,000,73.94
2014-11-14,75.01,75.01,73.45,74.10,1600,73.94
2014-11-13,73.25,74.00,73.25,74.00,1200,73.84
