Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.28,12.28,12.28,12.28,200,12.28
2014-12-30,12.27,12.27,12.27,12.27,300,12.27
2014-12-29,12.25,12.39,12.25,12.39,300,12.39
2014-12-26,12.26,12.26,12.26,12.26,000,12.26
2014-12-24,12.25,12.25,12.25,12.25,000,12.25
2014-12-23,12.26,12.26,12.26,12.26,000,12.26
2014-12-22,12.26,12.26,12.26,12.26,000,12.26
2014-12-19,10.58,12.50,10.58,12.26,5100,12.26
2014-12-18,11.50,11.50,11.30,11.30,2500,11.30
2014-12-17,11.51,11.88,11.40,11.40,1500,11.40
2014-12-16,10.36,12.10,10.36,11.25,7300,11.25
2014-12-15,12.24,12.24,12.24,12.24,000,12.24
2014-12-12,12.24,12.24,12.24,12.24,000,12.24
2014-12-11,12.24,12.24,12.24,12.24,000,12.24
2014-12-10,12.24,12.24,12.24,12.24,000,12.24
2014-12-09,12.24,12.24,12.24,12.24,000,12.24
2014-12-08,12.24,12.24,12.24,12.24,000,12.24
2014-12-05,12.24,12.24,12.24,12.24,000,12.24
2014-12-04,12.07,12.24,11.99,12.24,2200,12.24
2014-12-03,12.22,12.22,12.22,12.22,000,12.22
2014-12-02,12.23,12.23,12.22,12.22,500,12.22
2014-12-01,12.20,12.20,12.20,12.20,000,12.20
2014-11-28,12.19,12.20,12.19,12.20,400,12.20
2014-11-26,12.16,12.16,11.79,11.79,1000,11.79
2014-11-25,12.00,12.00,12.00,12.00,300,12.00
2014-11-24,12.19,12.19,10.55,11.50,5600,11.50
2014-11-21,12.24,12.24,12.24,12.24,000,12.24
2014-11-20,12.24,12.24,12.24,12.24,000,12.24
2014-11-19,12.24,12.24,12.18,12.24,1300,12.24
2014-11-18,11.10,12.24,10.97,12.24,12300,12.24
2014-11-17,10.99,11.18,10.91,11.05,9300,11.05
2014-11-14,11.75,11.75,11.75,11.75,000,11.75
2014-11-13,11.75,11.75,11.75,11.75,000,11.75
2014-11-12,11.75,11.75,11.75,11.75,300,11.75
2014-11-11,11.00,11.90,11.00,11.90,57100,11.90
2014-11-10,11.64,12.01,11.24,11.91,23200,11.91
2014-11-07,10.75,11.69,10.61,11.69,1200,11.69
2014-11-06,10.61,10.61,10.61,10.61,200,10.61
2014-11-05,10.50,10.50,10.50,10.50,000,10.50
2014-11-04,9.09,10.75,9.09,10.50,1000,10.50
2014-11-03,10.77,10.77,8.85,8.85,900,8.85
2014-10-31,11.71,11.75,10.70,10.70,1700,10.70
2014-10-30,10.52,10.52,10.52,10.52,000,10.52
2014-10-29,10.50,10.77,10.50,10.52,2700,10.52
2014-10-28,10.50,10.99,10.50,10.75,3000,10.75
2014-10-27,10.45,10.45,10.45,10.45,000,10.45
2014-10-24,10.35,10.71,10.35,10.45,3000,10.45
2014-10-23,10.58,10.71,10.50,10.71,115300,10.71
2014-10-22,11.04,11.04,11.00,11.00,600,11.00
