Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,45.22,45.50,44.63,45.42,137100,45.42
2015-04-07,45.14,45.45,44.11,45.00,70300,45.00
2015-04-06,43.98,45.17,43.23,45.04,91200,45.04
2015-04-02,43.58,44.58,43.48,43.99,80500,43.99
2015-04-01,43.24,43.60,42.75,43.31,62200,43.31
2015-03-31,43.50,43.50,42.86,43.10,149500,43.10
2015-03-30,42.90,44.27,42.90,43.50,74300,43.50
2015-03-27,41.05,42.99,41.05,42.74,91300,42.74
2015-03-26,40.25,41.33,40.25,41.01,48900,41.01
2015-03-25,39.99,41.31,39.36,40.12,46400,40.12
2015-03-24,39.20,39.97,39.00,39.60,55200,39.60
2015-03-23,37.75,39.50,37.34,38.88,80000,38.88
2015-03-20,37.07,37.74,36.85,37.60,48700,37.60
2015-03-19,37.20,37.44,36.44,36.79,53200,36.79
2015-03-18,37.01,37.40,36.35,37.16,30500,37.16
2015-03-17,36.79,37.15,36.26,37.00,41700,37.00
2015-03-16,37.39,37.53,36.28,36.87,43200,36.87
2015-03-13,37.65,37.81,36.22,37.22,43700,37.22
2015-03-12,36.15,37.74,36.15,37.58,58100,37.58
2015-03-11,36.77,37.04,35.70,35.83,32400,35.83
2015-03-10,36.18,36.91,35.87,36.83,45800,36.83
2015-03-09,35.10,36.85,35.06,36.28,49900,36.28
2015-03-06,36.72,36.75,35.10,35.14,61600,35.14
2015-03-05,36.18,37.29,35.77,36.75,53000,36.75
2015-03-04,36.18,36.34,35.75,36.04,30600,36.04
2015-03-03,36.58,36.58,35.75,36.18,39500,36.18
2015-03-02,37.12,37.53,36.50,36.55,27600,36.55
2015-02-27,37.29,37.55,36.76,37.05,43300,37.05
2015-02-26,36.85,37.64,36.83,37.07,36300,37.07
2015-02-25,38.12,38.12,36.87,36.97,56400,36.97
2015-02-24,36.50,38.22,35.91,37.93,68800,37.93
2015-02-23,35.99,36.96,35.96,36.55,45500,36.55
2015-02-20,35.83,36.45,35.58,36.04,32700,36.04
2015-02-19,36.03,36.57,35.63,35.71,27300,35.71
2015-02-18,36.13,36.32,35.61,36.18,40200,36.18
2015-02-17,37.15,37.24,35.65,36.04,52900,36.04
2015-02-13,37.65,37.65,36.52,37.24,67700,37.24
2015-02-12,37.83,37.83,36.14,37.50,44400,37.50
2015-02-11,38.22,38.26,37.17,37.59,67600,37.59
2015-02-10,37.41,38.18,37.23,38.14,48800,38.14
2015-02-09,36.81,37.45,36.30,37.29,73500,37.29
2015-02-06,37.09,37.34,36.46,37.05,71400,37.05
2015-02-05,38.00,38.00,36.24,37.15,63500,37.15
2015-02-04,37.60,38.59,37.17,37.75,72300,37.75
2015-02-03,36.12,37.94,36.12,37.86,88100,37.86
2015-02-02,35.96,36.50,35.11,36.40,101900,36.40
2015-01-30,36.13,37.33,35.71,36.47,100000,36.47
2015-01-29,37.03,37.03,34.80,36.48,258100,36.48
2015-01-28,37.50,37.77,36.72,37.03,88300,37.03
2015-01-27,37.53,37.90,35.47,37.50,150500,37.50
2015-01-26,38.59,38.93,36.28,37.55,137900,37.55
2015-01-23,42.41,42.41,37.98,38.98,212600,38.98
2015-01-22,43.54,44.08,41.85,42.28,71700,42.28
2015-01-21,43.99,44.31,42.75,43.68,45600,43.68
2015-01-20,42.86,43.94,42.42,43.70,56000,43.70
2015-01-16,41.40,42.72,40.94,42.66,67500,42.66
2015-01-15,41.63,42.03,40.97,41.47,90800,41.47
2015-01-14,41.83,41.86,41.24,41.46,100200,41.46
2015-01-13,41.89,42.30,41.18,41.93,81200,41.93
2015-01-12,43.20,43.25,40.91,41.63,77900,41.63
2015-01-09,43.27,43.65,42.78,43.17,101300,43.17
2015-01-08,42.84,43.55,42.70,43.15,93800,43.15
2015-01-07,42.81,43.64,42.61,42.75,90300,42.75
2015-01-06,42.68,43.47,42.43,42.70,62600,42.70
2015-01-05,41.00,42.89,40.94,42.70,113900,42.70
2015-01-02,45.29,45.38,39.52,41.09,241100,41.09
