Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.93,13.99,13.71,13.72,1208800,13.72
2014-12-30,13.75,13.96,13.73,13.94,1600500,13.94
2014-12-29,13.92,14.00,13.78,13.81,1268100,13.81
2014-12-26,14.04,14.05,13.91,13.92,825800,13.92
2014-12-24,13.91,14.08,13.86,14.01,881700,14.01
2014-12-23,13.99,14.09,13.84,13.88,1674200,13.88
2014-12-22,13.94,14.02,13.82,13.96,1342700,13.96
2014-12-19,14.04,14.25,13.93,13.93,3782800,13.93
2014-12-18,13.86,14.06,13.71,14.01,2183600,14.01
2014-12-17,13.58,13.70,13.36,13.69,2419000,13.69
2014-12-16,13.60,13.85,13.47,13.53,2734600,13.53
2014-12-15,13.91,14.02,13.59,13.66,2953400,13.66
2014-12-12,13.55,14.04,13.55,13.81,4624800,13.81
2014-12-11,13.83,14.19,13.71,13.75,3475200,13.75
2014-12-10,13.90,13.97,13.58,13.63,3829500,13.63
2014-12-09,13.14,13.93,13.04,13.91,3689600,13.91
2014-12-08,13.27,13.31,13.09,13.24,3009800,13.24
2014-12-05,12.93,13.37,12.91,13.32,2627700,13.32
2014-12-04,13.14,13.22,12.91,13.02,2784100,13.02
2014-12-03,12.76,13.24,12.76,13.12,4760200,13.12
2014-12-02,13.10,13.10,12.81,12.86,3103200,12.86
2014-12-01,13.31,13.33,13.04,13.06,3034300,13.06
2014-11-28,13.45,13.48,13.24,13.34,989100,13.34
2014-11-26,13.36,13.52,13.32,13.46,1759700,13.46
2014-11-25,13.45,13.52,13.29,13.40,1299500,13.40
2014-11-24,13.38,13.47,13.23,13.44,1881400,13.44
2014-11-21,13.67,13.67,13.37,13.38,2281600,13.38
2014-11-20,13.21,13.65,13.08,13.50,3239800,13.50
2014-11-19,13.21,13.42,13.04,13.25,3832600,13.25
2014-11-18,13.16,13.34,13.12,13.21,2445300,13.21
2014-11-17,13.09,13.23,12.96,13.11,2615200,13.11
2014-11-14,12.83,13.08,12.78,13.05,2848100,13.05
2014-11-13,13.22,13.28,12.78,12.84,5007600,12.84
2014-11-12,13.28,13.48,13.22,13.23,2583700,13.23
2014-11-11,13.66,13.68,13.33,13.37,3546700,13.37
2014-11-10,13.39,13.67,13.36,13.63,3224100,13.63
2014-11-07,13.37,13.63,13.35,13.63,2773400,13.63
2014-11-06,13.49,13.60,13.39,13.42,3208900,13.42
2014-11-05,13.52,13.67,13.37,13.51,2793900,13.51
2014-11-04,13.50,13.70,13.34,13.47,3484600,13.47
2014-11-03,13.47,13.77,13.40,13.58,4097400,13.58
2014-10-31,13.08,13.47,13.00,13.46,4368700,13.46
2014-10-30,12.65,13.10,12.62,12.97,7479000,12.97
2014-10-29,12.47,12.58,12.17,12.43,5490300,12.43
2014-10-28,12.26,12.48,12.13,12.47,6767400,12.47
2014-10-27,12.01,12.22,11.99,12.18,2225000,12.18
2014-10-24,12.36,12.44,11.98,12.10,4652100,12.10
2014-10-23,12.08,12.54,12.06,12.41,3527000,12.41
2014-10-22,12.29,12.47,11.93,11.94,3060500,11.94
2014-10-21,12.23,12.67,12.18,12.31,8042300,12.31
2014-10-20,11.78,12.05,11.77,11.99,1905100,11.99
2014-10-17,11.98,12.18,11.83,11.83,4219700,11.83
2014-10-16,11.51,11.99,11.51,11.84,3780300,11.84
2014-10-15,11.47,11.85,11.35,11.76,6603300,11.76
2014-10-14,11.61,11.81,11.49,11.68,5971700,11.68
2014-10-13,11.66,11.79,11.37,11.51,4835900,11.51
2014-10-10,12.35,12.35,11.61,11.62,6523500,11.62
2014-10-09,12.78,12.87,12.39,12.59,4919800,12.59
2014-10-08,12.64,12.85,12.25,12.80,3631800,12.80
2014-10-07,12.87,12.97,12.55,12.63,3541500,12.63
2014-10-06,13.02,13.12,12.85,12.98,3570500,12.98
2014-10-03,13.19,13.33,12.98,12.99,3669200,12.99
2014-10-02,13.11,13.25,12.76,13.13,4697000,13.13
2014-10-01,12.80,13.42,12.66,13.15,10547800,13.15
2014-09-30,12.94,13.00,12.72,12.80,3678900,12.80
2014-09-29,12.75,13.04,12.67,12.97,2571100,12.97
2014-09-26,12.88,12.97,12.82,12.91,2018600,12.91
2014-09-25,13.12,13.15,12.81,12.86,3087900,12.86
2014-09-24,13.05,13.19,12.99,13.18,2196200,13.18
2014-09-23,12.97,13.11,12.94,13.05,3164900,13.05
2014-09-22,13.26,13.35,12.99,13.03,2996300,13.03
2014-09-19,13.74,13.82,13.29,13.34,5962500,13.34
2014-09-18,13.57,13.77,13.48,13.71,3776100,13.71
2014-09-17,13.54,13.73,13.47,13.57,3606500,13.57
2014-09-16,13.68,13.70,13.34,13.55,6424000,13.55
2014-09-15,13.37,13.58,13.21,13.57,6522300,13.57
2014-09-12,13.30,13.51,13.18,13.43,7378200,13.43
2014-09-11,13.63,13.88,13.24,13.36,28997500,13.36
2014-09-10,11.72,12.16,11.70,12.11,9279800,12.11
2014-09-09,11.71,11.76,11.62,11.71,4891100,11.71
2014-09-08,11.24,11.75,11.19,11.75,9241300,11.75
2014-09-05,10.86,11.17,10.85,11.17,3644700,11.17
2014-09-04,11.11,11.18,10.89,10.90,6414400,10.90
2014-09-03,11.27,11.35,11.16,11.17,5057500,11.17
2014-09-02,11.53,11.53,11.21,11.25,5926700,11.25
2014-08-29,11.53,11.65,11.46,11.55,2390400,11.55
2014-08-28,11.60,11.65,11.47,11.51,2328700,11.51
2014-08-27,11.94,12.00,11.66,11.66,2179400,11.66
2014-08-26,11.65,11.98,11.62,11.94,3048500,11.94
2014-08-25,11.61,11.68,11.57,11.64,2745800,11.64
2014-08-22,11.62,11.66,11.50,11.53,2876000,11.53
2014-08-21,11.09,11.64,11.08,11.62,4216100,11.62
2014-08-20,11.01,11.16,10.99,11.12,2236800,11.12
2014-08-19,10.99,11.19,10.89,11.05,7021700,11.05
2014-08-18,10.96,11.01,10.93,10.99,3618300,10.99
2014-08-15,10.87,11.00,10.85,10.87,3825800,10.87
2014-08-14,10.93,11.00,10.78,10.94,4631100,10.94
2014-08-13,11.22,11.37,10.62,10.90,20954400,10.90
2014-08-12,11.94,11.98,11.70,11.91,5041100,11.91
2014-08-11,11.81,12.08,11.78,11.97,4524600,11.97
2014-08-08,11.64,11.85,11.61,11.80,1743200,11.80
2014-08-07,11.90,11.94,11.59,11.62,2248400,11.62
2014-08-06,11.74,11.97,11.67,11.89,2332200,11.89
2014-08-05,11.70,11.88,11.65,11.79,1923700,11.79
2014-08-04,11.68,11.74,11.62,11.74,1617000,11.74
2014-08-01,11.86,11.90,11.64,11.66,2711500,11.66
2014-07-31,11.75,11.99,11.72,11.87,3201000,11.87
2014-07-30,11.82,11.91,11.72,11.83,4519100,11.83
2014-07-29,11.77,11.91,11.74,11.74,1933600,11.74
2014-07-28,11.89,11.89,11.71,11.80,2735800,11.80
2014-07-25,11.86,12.00,11.74,11.85,2907600,11.85
2014-07-24,12.07,12.22,11.81,11.89,5522300,11.89
2014-07-23,12.40,12.40,11.93,12.04,12291300,12.04
2014-07-22,12.32,12.45,12.27,12.38,3562300,12.38
2014-07-21,12.27,12.45,12.21,12.23,2745000,12.23
2014-07-18,12.16,12.35,12.11,12.33,3282300,12.33
2014-07-17,11.97,12.24,11.91,12.09,4009900,12.09
2014-07-16,12.07,12.26,11.98,12.02,3219800,12.02
2014-07-15,12.23,12.27,11.98,12.03,3948200,12.03
2014-07-14,12.27,12.29,12.11,12.20,2381600,12.20
2014-07-11,12.02,12.21,12.02,12.18,2459900,12.18
2014-07-10,12.00,12.12,11.90,12.06,3050300,12.06
2014-07-09,12.21,12.31,12.06,12.15,5555000,12.15
2014-07-08,12.53,12.53,12.11,12.21,5331000,12.21
2014-07-07,12.57,12.63,12.47,12.54,2789200,12.54
2014-07-03,12.53,12.67,12.50,12.63,2356900,12.63
2014-07-02,12.54,12.74,12.48,12.50,3566700,12.50
2014-07-01,12.49,12.67,12.43,12.54,4505000,12.54
2014-06-30,12.39,12.47,12.30,12.47,2873200,12.47
2014-06-27,12.32,12.41,12.21,12.35,6698000,12.35
2014-06-26,11.81,12.45,11.80,12.39,7640600,12.39
2014-06-25,11.69,11.79,11.59,11.74,3094600,11.74
2014-06-24,11.88,11.98,11.68,11.75,3563100,11.75
2014-06-23,11.98,12.02,11.85,11.90,3096500,11.90
2014-06-20,11.87,12.01,11.76,11.98,4619300,11.98
2014-06-19,11.68,11.88,11.62,11.86,4076800,11.86
2014-06-18,11.76,11.82,11.57,11.65,4497900,11.65
2014-06-17,11.51,11.79,11.47,11.74,3454400,11.74
2014-06-16,11.53,11.71,11.46,11.55,3506500,11.55
2014-06-13,11.17,11.61,11.16,11.59,4703300,11.59
2014-06-12,11.41,11.56,11.32,11.53,4199900,11.53
2014-06-11,11.25,11.45,11.23,11.43,2104200,11.43
2014-06-10,11.19,11.42,11.16,11.30,3814200,11.30
2014-06-09,11.07,11.29,11.05,11.20,4225300,11.20
2014-06-06,11.02,11.24,11.02,11.08,2886500,11.08
2014-06-05,11.12,11.12,10.85,11.00,5840200,11.00
2014-06-04,10.69,10.85,10.68,10.74,3190900,10.74
2014-06-03,10.72,10.87,10.64,10.75,2890300,10.75
2014-06-02,10.97,10.99,10.69,10.75,5367400,10.75
2014-05-30,11.20,11.21,10.83,10.97,3814900,10.97
2014-05-29,11.20,11.29,11.16,11.21,2694100,11.21
2014-05-28,11.13,11.42,11.02,11.16,6417900,11.16
2014-05-27,10.84,10.95,10.80,10.92,4357200,10.92
2014-05-23,10.75,10.86,10.69,10.80,6110800,10.80
2014-05-22,10.80,10.85,10.65,10.79,5227000,10.79
2014-05-21,10.82,10.93,10.74,10.78,2901200,10.78
2014-05-20,11.05,11.08,10.77,10.79,3422900,10.79
2014-05-19,10.84,11.15,10.84,11.05,3223400,11.05
2014-05-16,10.90,10.93,10.76,10.84,3076700,10.84
2014-05-15,10.90,10.95,10.57,10.92,2925400,10.92
2014-05-14,10.89,10.99,10.77,10.84,2261500,10.84
2014-05-13,11.08,11.20,10.94,10.96,2409500,10.96
2014-05-12,10.90,11.08,10.83,11.06,4183500,11.06
2014-05-09,10.59,10.89,10.53,10.87,3240200,10.87
2014-05-08,10.70,11.05,10.59,10.65,4048400,10.65
2014-05-07,10.65,10.75,10.29,10.74,7166500,10.74
2014-05-06,10.89,10.89,10.60,10.61,4161000,10.61
2014-05-05,10.86,11.00,10.71,10.89,3792600,10.89
2014-05-02,10.93,11.08,10.80,10.96,8487000,10.96
2014-05-01,11.82,11.82,10.53,10.87,27083800,10.87
2014-04-30,12.83,12.86,12.58,12.67,6093500,12.67
2014-04-29,12.85,12.92,12.69,12.87,2999600,12.87
2014-04-28,13.15,13.20,12.42,12.76,4740200,12.76
2014-04-25,13.43,13.47,13.03,13.11,2004800,13.11
2014-04-24,13.70,13.80,13.34,13.51,2279000,13.51
2014-04-23,13.59,13.72,13.35,13.67,2227000,13.67
2014-04-22,13.42,13.75,13.39,13.54,2363000,13.54
2014-04-21,13.42,13.56,13.27,13.43,1343200,13.43
2014-04-17,13.31,13.52,13.25,13.43,1810700,13.43
2014-04-16,13.15,13.29,12.95,13.28,1917600,13.28
2014-04-15,12.88,13.12,12.69,13.05,2873400,13.05
2014-04-14,13.03,13.11,12.71,12.85,3873100,12.85
2014-04-11,13.12,13.27,12.90,12.91,3596000,12.91
2014-04-10,13.92,13.92,13.09,13.21,5965100,13.21
2014-04-09,13.75,13.92,13.66,13.91,2189200,13.91
2014-04-08,13.48,13.91,13.46,13.72,3021500,13.72
2014-04-07,13.62,14.05,13.36,13.51,5216000,13.51
2014-04-04,14.20,14.36,13.58,13.71,4804800,13.71
2014-04-03,14.27,14.50,13.98,14.07,2702300,14.07
2014-04-02,14.42,14.54,14.23,14.30,2285500,14.30
2014-04-01,14.06,14.36,14.04,14.35,2940200,14.35
2014-03-31,13.63,14.09,13.63,14.00,3240700,14.00
2014-03-28,13.47,13.82,13.43,13.56,4046900,13.56
2014-03-27,13.86,14.00,13.60,13.67,3087900,13.67
2014-03-26,14.43,14.61,13.87,13.89,4218600,13.89
2014-03-25,14.37,14.54,14.07,14.28,3607500,14.28
2014-03-24,14.62,14.75,14.02,14.30,3881700,14.30
2014-03-21,14.98,14.99,14.53,14.62,6064500,14.62
2014-03-20,14.37,14.71,14.34,14.55,3778700,14.55
2014-03-19,14.50,14.57,14.31,14.42,3817700,14.42
2014-03-18,14.28,14.52,14.18,14.50,3020200,14.50
2014-03-17,14.42,14.46,14.17,14.26,2358400,14.26
2014-03-14,13.92,14.46,13.91,14.35,5377200,14.35
2014-03-13,14.07,14.46,13.90,13.98,8840300,13.98
2014-03-12,13.20,14.01,13.20,14.01,4679700,14.01
2014-03-11,13.72,13.78,13.22,13.29,2429900,13.29
2014-03-10,13.72,13.78,13.55,13.72,2654300,13.72
2014-03-07,13.78,13.96,13.70,13.79,2805700,13.79
