Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,16.30,16.98,16.30,16.85,511900,16.85
2015-04-07,16.35,16.46,15.97,16.19,138700,16.19
2015-04-06,16.41,16.48,16.30,16.41,153500,16.41
2015-04-02,16.39,16.70,16.32,16.45,156300,16.45
2015-04-01,16.17,16.66,16.17,16.39,185500,16.39
2015-03-31,15.55,16.36,15.55,16.22,296400,16.22
2015-03-30,15.30,15.56,14.82,15.50,431700,15.50
2015-03-27,15.79,15.90,15.42,15.48,139900,15.48
2015-03-26,16.25,16.49,15.50,15.70,339700,15.70
2015-03-25,16.55,16.95,16.39,16.53,487800,16.53
2015-03-24,16.90,16.96,16.52,16.64,330200,16.64
2015-03-23,16.70,16.91,16.61,16.80,287100,16.80
2015-03-20,17.00,17.00,16.70,16.75,258400,16.75
2015-03-19,16.80,17.10,16.50,16.94,284100,16.94
2015-03-18,16.75,16.96,16.64,16.76,134400,16.76
2015-03-17,17.10,17.10,16.78,16.81,384300,16.81
2015-03-16,17.06,17.10,16.93,17.00,617200,17.00
2015-03-13,17.00,17.08,16.71,17.00,374600,17.00
2015-03-12,16.95,17.10,16.75,17.00,290100,17.00
2015-03-11,17.45,17.49,16.87,17.02,299500,17.02
2015-03-10,17.25,17.74,16.85,17.41,486700,17.41
2015-03-09,17.47,17.47,16.56,17.20,207300,17.20
2015-03-06,17.07,17.35,16.51,17.32,246200,17.32
2015-03-05,17.00,17.00,16.60,16.83,91100,16.83
2015-03-04,17.00,17.05,16.65,17.00,106500,17.00
2015-03-03,16.73,17.30,16.73,17.00,131300,17.00
2015-03-02,16.93,17.10,16.56,16.81,390500,16.81
2015-02-27,17.40,17.40,16.75,16.99,257100,16.99
2015-02-26,17.49,17.51,17.16,17.32,231300,17.32
2015-02-25,17.35,17.51,17.34,17.45,102300,17.45
2015-02-24,17.30,17.59,17.21,17.34,139400,17.34
2015-02-23,17.26,17.51,17.16,17.37,147000,17.37
2015-02-20,17.35,17.45,17.23,17.35,36200,17.35
2015-02-19,17.29,17.57,17.20,17.34,72900,17.34
2015-02-18,17.25,17.40,17.00,17.29,146600,17.29
2015-02-17,17.52,17.58,17.14,17.25,116800,17.25
2015-02-13,17.00,17.50,16.88,17.49,144800,17.49
2015-02-12,16.91,17.02,16.87,16.99,149800,16.99
2015-02-11,16.87,17.13,16.85,16.88,130900,16.88
2015-02-10,16.96,17.03,16.80,16.96,69800,16.96
2015-02-09,17.21,17.46,16.87,16.95,109900,16.95
2015-02-06,17.45,17.45,17.05,17.28,109200,17.28
2015-02-05,17.60,17.83,17.28,17.48,226900,17.48
2015-02-04,18.30,18.30,17.61,17.81,176200,17.81
2015-02-03,17.32,18.49,17.21,18.44,535000,18.44
2015-02-02,17.15,17.43,16.81,17.33,523400,17.33
2015-01-30,16.96,17.27,16.90,17.03,153100,17.03
2015-01-29,16.96,17.19,16.65,17.00,318300,17.00
2015-01-28,17.35,17.41,16.87,16.97,507200,16.97
2015-01-27,17.05,17.48,17.00,17.32,236300,17.32
2015-01-26,17.25,17.29,16.90,17.18,355800,17.18
2015-01-23,16.41,17.30,16.39,17.24,727700,17.24
2015-01-22,15.66,16.51,15.55,16.34,452900,16.34
2015-01-21,15.25,15.71,15.06,15.52,218900,15.52
2015-01-20,15.49,15.60,15.17,15.25,271700,15.25
2015-01-16,15.47,15.88,15.33,15.53,299100,15.53
2015-01-15,15.50,16.10,15.42,15.57,321800,15.57
2015-01-14,15.34,15.60,15.05,15.54,263400,15.54
2015-01-13,16.05,16.20,15.24,15.36,393400,15.36
2015-01-12,15.87,15.98,15.38,15.51,178000,15.51
2015-01-09,15.72,15.95,15.72,15.92,314000,15.92
2015-01-08,15.53,15.83,15.31,15.67,305300,15.67
2015-01-07,15.32,15.68,15.20,15.51,193600,15.51
2015-01-06,15.32,15.39,15.21,15.30,347000,15.30
2015-01-05,15.30,15.49,15.21,15.32,578000,15.32
2015-01-02,15.04,15.60,15.04,15.32,211600,15.32
