Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.01,0.01,0.01,0.01,407700,0.01
2014-12-30,0.01,0.01,0.01,0.01,419300,0.01
2014-12-29,0.01,0.01,0.01,0.01,192200,0.01
2014-12-26,0.01,0.01,0.01,0.01,99700,0.01
2014-12-25,0.01,0.01,0.01,0.01,000,0.01
2014-12-24,0.01,0.01,0.01,0.01,44800,0.01
2014-12-23,0.01,0.01,0.01,0.01,722400,0.01
2014-12-22,0.01,0.01,0.01,0.01,844100,0.01
2014-12-19,0.01,0.01,0.01,0.01,696600,0.01
2014-12-18,0.01,0.01,0.01,0.01,467300,0.01
2014-12-17,0.01,0.01,0.01,0.01,282000,0.01
2014-12-16,0.01,0.01,0.01,0.01,899000,0.01
2014-12-15,0.01,0.01,0.01,0.01,720700,0.01
2014-12-12,0.01,0.02,0.01,0.02,286800,0.02
2014-12-11,0.01,0.01,0.01,0.01,435200,0.01
2014-12-10,0.01,0.02,0.01,0.01,145500,0.01
2014-12-09,0.01,0.02,0.01,0.01,355100,0.01
2014-12-08,0.01,0.01,0.01,0.01,242900,0.01
2014-12-05,0.01,0.01,0.01,0.01,752300,0.01
2014-12-04,0.01,0.01,0.01,0.01,1129900,0.01
2014-12-03,0.01,0.01,0.01,0.01,480500,0.01
2014-12-02,0.01,0.01,0.01,0.01,608700,0.01
2014-12-01,0.01,0.01,0.00,0.01,118200,0.01
2014-11-28,0.01,0.01,0.01,0.01,37000,0.01
2014-11-27,0.01,0.01,0.01,0.01,000,0.01
2014-11-26,0.01,0.01,0.01,0.01,791000,0.01
2014-11-25,0.01,0.01,0.01,0.01,718100,0.01
2014-11-24,0.01,0.01,0.01,0.01,698700,0.01
2014-11-21,0.01,0.02,0.01,0.01,756600,0.01
2014-11-20,0.02,0.02,0.01,0.01,746200,0.01
2014-11-19,0.01,0.02,0.01,0.02,1121600,0.02
2014-11-18,0.01,0.01,0.01,0.01,873000,0.01
2014-11-17,0.01,0.01,0.01,0.01,228600,0.01
2014-11-14,0.01,0.01,0.01,0.01,254900,0.01
2014-11-13,0.01,0.01,0.01,0.01,3493300,0.01
2014-11-12,0.02,0.02,0.01,0.01,5184300,0.01
2014-11-11,0.03,0.03,0.02,0.02,1058500,0.02
2014-11-10,0.07,0.07,0.03,0.03,3363700,0.03
2014-11-07,0.07,0.08,0.07,0.07,303500,0.07
2014-11-06,0.08,0.08,0.07,0.08,179400,0.08
2014-11-05,0.08,0.08,0.07,0.08,112000,0.08
2014-11-04,0.07,0.08,0.07,0.08,309900,0.08
2014-11-03,0.08,0.08,0.07,0.08,156100,0.08
2014-10-31,0.07,0.09,0.07,0.08,369800,0.08
2014-10-30,0.08,0.09,0.07,0.07,320800,0.07
2014-10-29,0.07,0.08,0.07,0.07,56700,0.07
2014-10-28,0.08,0.09,0.07,0.07,125500,0.07
2014-10-27,0.09,0.09,0.07,0.08,314300,0.08
2014-10-24,0.10,0.10,0.07,0.09,397500,0.09
2014-10-23,0.07,0.12,0.07,0.10,574900,0.10
2014-10-22,0.07,0.08,0.07,0.08,164400,0.08
2014-10-21,0.07,0.08,0.07,0.08,86400,0.08
2014-10-20,0.07,0.08,0.07,0.07,169700,0.07
2014-10-17,0.08,0.08,0.07,0.07,113100,0.07
2014-10-16,0.06,0.09,0.06,0.08,352900,0.08
2014-10-15,0.06,0.07,0.06,0.06,177500,0.06
2014-10-14,0.07,0.08,0.07,0.07,333500,0.07
2014-10-13,0.08,0.09,0.07,0.08,124700,0.08
2014-10-10,0.08,0.09,0.08,0.09,139300,0.09
2014-10-09,0.08,0.10,0.08,0.09,194600,0.09
2014-10-08,0.09,0.09,0.08,0.09,1079200,0.09
2014-10-07,0.10,0.10,0.09,0.09,916100,0.09
2014-10-06,0.10,0.11,0.10,0.10,79900,0.10
2014-10-03,0.11,0.11,0.11,0.11,116800,0.11
2014-10-02,0.11,0.12,0.10,0.10,312400,0.10
2014-10-01,0.11,0.11,0.11,0.11,257500,0.11
2014-09-30,0.12,0.13,0.11,0.12,477800,0.12
2014-09-29,0.13,0.13,0.10,0.12,265000,0.12
2014-09-26,0.11,0.13,0.11,0.12,624700,0.12
2014-09-25,0.12,0.14,0.09,0.10,2029300,0.10
2014-09-24,0.12,0.14,0.12,0.12,534000,0.12
2014-09-23,0.14,0.18,0.12,0.13,1864600,0.13
2014-09-22,0.18,0.19,0.12,0.14,4081400,0.14
2014-09-19,0.22,0.24,0.18,0.19,2054000,0.19
2014-09-18,0.19,0.25,0.19,0.22,4951300,0.22
2014-09-17,0.18,0.25,0.14,0.18,4748700,0.18
2014-09-16,0.18,0.21,0.15,0.17,4610900,0.17
2014-09-15,0.20,0.37,0.18,0.22,10313800,0.22
2014-09-12,0.15,0.19,0.14,0.18,2014700,0.18
2014-09-11,0.16,0.18,0.13,0.14,2932600,0.14
2014-09-10,0.10,0.17,0.10,0.16,5222200,0.16
2014-09-09,0.10,0.11,0.10,0.10,348000,0.10
2014-09-08,0.11,0.11,0.09,0.11,932600,0.11
2014-09-05,0.10,0.10,0.09,0.09,890900,0.09
2014-09-04,0.10,0.11,0.09,0.09,572300,0.09
2014-09-03,0.10,0.11,0.10,0.10,523800,0.10
2014-09-02,0.10,0.12,0.10,0.10,716100,0.10
2014-09-01,0.10,0.10,0.10,0.10,000,0.10
2014-08-29,0.12,0.12,0.10,0.10,865300,0.10
2014-08-28,0.12,0.12,0.11,0.11,639300,0.11
2014-08-27,0.11,0.11,0.10,0.11,511700,0.11
2014-08-26,0.12,0.12,0.10,0.10,533300,0.10
2014-08-25,0.11,0.12,0.10,0.11,783700,0.11
2014-08-22,0.11,0.11,0.10,0.10,561700,0.10
2014-08-21,0.11,0.11,0.10,0.11,1482500,0.11
2014-08-20,0.11,0.12,0.10,0.10,2220700,0.10
2014-08-19,0.13,0.15,0.10,0.12,3860400,0.12
2014-08-18,0.13,0.14,0.12,0.13,1471200,0.13
2014-08-15,0.20,0.20,0.14,0.14,764700,0.14
2014-08-14,0.18,0.20,0.14,0.15,2704800,0.15
2014-08-13,0.24,0.25,0.18,0.18,4178300,0.18
2014-08-12,0.26,0.26,0.25,0.25,227400,0.25
2014-08-11,0.24,0.26,0.24,0.25,178100,0.25
2014-08-08,0.25,0.26,0.23,0.25,447100,0.25
2014-08-07,0.26,0.26,0.23,0.24,370400,0.24
2014-08-06,0.26,0.27,0.23,0.25,348300,0.25
2014-08-05,0.27,0.27,0.25,0.26,523500,0.26
2014-08-04,0.30,0.33,0.26,0.27,421400,0.27
2014-08-01,0.31,0.35,0.30,0.30,337500,0.30
2014-07-31,0.33,0.34,0.31,0.31,240000,0.31
2014-07-30,0.33,0.34,0.32,0.32,212100,0.32
