Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,16.00,16.35,15.85,16.12,232600,16.12
2015-04-07,16.79,16.79,15.94,16.09,68200,16.09
2015-04-06,16.34,16.75,16.34,16.73,50200,16.73
2015-04-02,15.94,16.56,15.94,16.50,76400,16.50
2015-04-01,16.31,16.40,15.75,16.03,66700,16.03
2015-03-31,16.54,16.60,16.18,16.41,55800,16.41
2015-03-30,16.10,16.94,15.88,16.50,97200,16.50
2015-03-27,15.32,15.49,15.06,15.47,35600,15.47
2015-03-26,15.19,15.71,15.19,15.36,32200,15.36
2015-03-25,15.87,15.98,15.12,15.16,34000,15.16
2015-03-24,15.55,15.98,15.50,15.86,31800,15.86
2015-03-23,15.44,15.74,15.37,15.54,40900,15.54
2015-03-20,15.02,15.45,14.96,15.41,103600,15.41
2015-03-19,15.10,15.27,14.74,14.88,23800,14.88
2015-03-18,14.69,15.32,14.58,15.19,50300,15.19
2015-03-17,14.55,14.85,14.39,14.80,49800,14.80
2015-03-16,14.99,15.00,14.58,14.69,36700,14.69
2015-03-13,14.94,14.99,14.46,14.98,51800,14.98
2015-03-12,14.30,15.12,14.15,15.04,62700,15.04
2015-03-11,13.83,14.17,13.44,14.12,72000,14.12
2015-03-10,14.14,14.24,13.73,13.76,41400,13.76
2015-03-09,14.31,14.51,14.26,14.36,37700,14.36
2015-03-06,14.77,14.85,14.33,14.34,44900,14.34
2015-03-05,15.01,15.06,14.61,14.82,38000,14.82
2015-03-04,14.91,15.15,14.80,15.04,30300,15.04
2015-03-03,14.91,15.23,14.91,15.06,34700,15.06
2015-03-02,14.70,15.18,14.65,15.05,42600,15.05
2015-02-27,15.09,15.18,14.63,14.66,54100,14.66
2015-02-26,15.13,15.16,14.84,15.07,58500,15.07
2015-02-25,15.45,15.55,15.17,15.19,50500,15.19
2015-02-24,15.69,15.87,15.25,15.37,45200,15.37
2015-02-23,16.04,16.04,15.49,15.61,54300,15.61
2015-02-20,17.22,17.22,15.79,16.16,81700,16.16
2015-02-19,16.72,16.91,16.51,16.53,30400,16.53
2015-02-18,16.61,16.87,16.49,16.87,35400,16.87
2015-02-17,16.55,16.79,16.49,16.65,27000,16.65
2015-02-13,16.25,16.71,16.20,16.60,30100,16.60
2015-02-12,16.25,16.51,15.88,16.29,37400,16.29
2015-02-11,16.06,16.25,15.87,16.06,26900,16.06
2015-02-10,16.37,16.37,15.92,16.14,55400,16.14
2015-02-09,16.14,16.57,16.12,16.15,53100,16.15
2015-02-06,16.48,16.63,16.18,16.28,69200,16.28
2015-02-05,16.26,16.55,16.14,16.39,53400,16.39
2015-02-04,16.03,16.38,16.02,16.12,66600,16.12
2015-02-03,15.69,16.20,15.39,16.15,40300,16.15
2015-02-02,15.26,15.56,14.94,15.48,75200,15.48
2015-01-30,15.46,15.50,15.09,15.14,74500,15.14
2015-01-29,15.29,15.65,15.14,15.64,41500,15.64
2015-01-28,15.88,15.88,15.18,15.22,56400,15.22
2015-01-27,15.27,16.09,15.27,15.74,51100,15.74
2015-01-26,15.12,15.58,14.84,15.51,36400,15.51
2015-01-23,15.26,15.26,14.96,15.10,62000,15.10
2015-01-22,15.13,15.24,14.88,15.21,72500,15.21
2015-01-21,15.01,15.11,14.88,14.98,67000,14.98
2015-01-20,15.38,15.48,14.94,14.97,68700,14.97
2015-01-16,14.91,15.38,14.91,15.31,45100,15.31
2015-01-15,15.55,15.55,14.91,14.97,68500,14.97
2015-01-14,15.51,15.68,15.28,15.57,25500,15.57
2015-01-13,15.87,16.13,15.32,15.60,63400,15.60
2015-01-12,15.42,15.62,14.93,15.60,54200,15.60
2015-01-09,15.66,15.89,15.36,15.38,47200,15.38
2015-01-08,15.22,15.93,15.07,15.71,147400,15.71
2015-01-07,15.31,15.31,14.78,15.03,88200,15.03
2015-01-06,15.78,15.78,14.96,15.13,110300,15.13
2015-01-05,15.79,15.79,15.41,15.63,76700,15.63
2015-01-02,16.34,16.41,15.74,15.95,65400,15.95
