Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.27,12.86,12.17,12.74,522600,12.74
2014-12-30,12.37,12.42,12.14,12.30,75800,12.30
2014-12-29,12.25,12.37,12.10,12.20,62600,12.20
2014-12-26,12.20,12.41,12.11,12.32,48000,12.32
2014-12-24,11.90,12.35,11.90,12.24,67800,12.24
2014-12-23,11.72,11.94,11.69,11.89,81700,11.89
2014-12-22,11.50,11.89,11.35,11.69,101200,11.69
2014-12-19,11.66,11.77,11.54,11.54,196100,11.54
2014-12-18,11.36,11.66,11.20,11.58,220100,11.58
2014-12-17,11.25,11.39,10.98,11.25,319500,11.25
2014-12-16,12.09,12.09,11.05,11.24,246600,11.24
2014-12-15,11.46,12.30,11.40,12.12,394000,12.12
2014-12-12,12.98,13.10,12.62,12.79,136000,12.79
2014-12-11,13.10,13.38,13.04,13.04,110100,13.04
2014-12-10,13.50,13.55,13.08,13.10,73700,13.10
2014-12-09,13.28,13.65,13.05,13.58,51900,13.58
2014-12-08,13.71,13.86,13.33,13.43,109600,13.43
2014-12-05,13.76,13.99,13.69,13.84,67800,13.84
2014-12-04,13.87,13.94,13.72,13.79,46800,13.79
2014-12-03,13.74,14.11,13.74,13.92,115800,13.92
2014-12-02,13.53,13.87,13.44,13.77,117000,13.77
2014-12-01,13.76,13.80,13.46,13.53,98200,13.53
2014-11-28,13.69,13.97,13.60,13.81,26200,13.81
2014-11-26,13.50,13.87,13.33,13.73,54500,13.73
2014-11-25,13.51,13.64,13.44,13.54,37900,13.54
2014-11-24,13.29,13.54,13.15,13.52,115000,13.52
2014-11-21,13.75,13.75,13.28,13.31,46300,13.31
2014-11-20,13.42,13.63,13.35,13.61,45900,13.61
2014-11-19,13.62,13.72,13.43,13.47,62000,13.47
2014-11-18,13.43,13.76,13.43,13.62,88700,13.62
2014-11-17,13.67,14.07,13.37,13.44,127900,13.44
2014-11-14,13.30,13.66,13.28,13.65,94000,13.65
2014-11-13,13.33,13.47,13.27,13.33,131700,13.33
2014-11-12,13.12,13.33,12.99,13.30,74800,13.30
2014-11-11,13.36,13.49,13.16,13.20,49900,13.20
2014-11-10,13.25,13.44,13.12,13.37,49600,13.37
2014-11-07,13.32,13.38,13.11,13.25,57000,13.25
2014-11-06,13.16,13.43,13.12,13.41,48300,13.41
2014-11-05,13.60,13.72,13.08,13.16,165900,13.16
2014-11-04,13.02,13.70,13.02,13.51,100000,13.51
2014-11-03,13.27,13.29,12.90,13.10,177900,13.10
2014-10-31,13.25,13.45,12.99,13.24,320600,13.24
2014-10-30,13.55,13.80,12.77,13.04,332200,13.04
2014-10-29,13.22,13.52,12.55,13.46,111300,13.46
2014-10-28,13.12,13.28,12.98,13.26,138600,13.26
2014-10-27,13.26,13.33,13.01,13.06,78500,13.06
2014-10-24,13.31,13.39,13.20,13.33,68600,13.33
2014-10-23,13.09,13.35,13.06,13.26,103400,13.26
2014-10-22,13.23,13.23,12.75,13.00,108600,13.00
2014-10-21,13.13,13.24,13.04,13.17,151300,13.17
2014-10-20,12.92,13.09,12.81,13.05,86200,13.05
