Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,14.30,14.42,14.26,14.37,25100,14.37
2015-04-07,14.39,14.43,14.31,14.36,21500,14.36
2015-04-06,14.31,14.41,14.21,14.34,12400,14.34
2015-04-02,14.18,14.43,14.18,14.39,27000,14.39
2015-04-01,14.31,14.40,14.16,14.24,22500,14.24
2015-03-31,14.27,14.40,14.06,14.34,7800,14.34
2015-03-30,14.22,14.33,14.10,14.31,17800,14.31
2015-03-27,14.05,14.17,14.05,14.14,13600,14.14
2015-03-26,14.06,14.14,13.93,14.05,26000,14.05
2015-03-25,14.10,14.12,14.06,14.07,36300,14.07
2015-03-24,14.05,14.11,14.01,14.09,17000,14.09
2015-03-23,13.95,14.11,13.91,14.03,15700,14.03
2015-03-20,14.10,14.13,13.88,13.91,84800,13.91
2015-03-19,14.24,14.28,14.01,14.13,39600,14.13
2015-03-18,14.06,14.38,14.05,14.21,50600,14.21
2015-03-17,14.04,14.15,14.00,14.14,36500,14.14
2015-03-16,14.27,14.37,13.86,14.14,36800,14.14
2015-03-13,14.14,14.41,14.10,14.15,21200,14.15
2015-03-12,13.95,14.24,13.95,14.23,14800,14.23
2015-03-11,14.00,14.03,13.90,13.93,40100,13.93
2015-03-10,14.05,14.15,13.92,14.06,28100,14.06
2015-03-09,14.09,14.27,14.00,14.13,36000,14.13
2015-03-06,14.17,14.28,14.03,14.15,38900,14.15
2015-03-05,14.14,14.19,14.01,14.11,10400,14.11
2015-03-04,14.31,14.34,14.05,14.18,17000,14.18
2015-03-03,14.25,14.41,14.21,14.28,11200,14.28
2015-03-02,14.27,14.37,14.00,14.34,20200,14.34
2015-02-27,14.00,14.29,14.00,14.19,34200,14.19
2015-02-26,13.77,14.13,13.77,14.07,22000,14.07
2015-02-25,13.64,14.09,13.64,13.84,55300,13.84
2015-02-24,13.73,13.74,13.54,13.70,63100,13.70
2015-02-23,13.57,13.74,13.29,13.73,80000,13.73
2015-02-20,13.74,13.74,13.38,13.70,52000,13.70
2015-02-19,14.28,14.31,13.67,13.80,69300,13.80
2015-02-18,14.61,14.74,14.25,14.40,42300,14.40
2015-02-17,14.91,14.91,14.41,14.70,34000,14.70
2015-02-13,14.54,14.85,14.54,14.84,29900,14.84
2015-02-12,14.87,14.98,14.37,14.53,54400,14.53
2015-02-11,14.84,14.94,14.84,14.89,32100,14.89
2015-02-10,15.03,15.05,14.81,14.91,29000,14.91
2015-02-09,14.89,15.00,14.75,14.90,31400,14.90
2015-02-06,15.01,15.14,14.72,14.82,55900,14.82
2015-02-05,15.20,15.20,14.83,15.01,122100,15.01
2015-02-04,15.40,15.45,14.91,15.14,134100,15.14
2015-02-03,15.87,15.87,15.16,15.45,119300,15.45
2015-02-02,16.05,16.12,15.63,15.75,28400,15.75
2015-01-30,15.77,15.98,15.76,15.89,17600,15.89
2015-01-29,15.99,16.00,15.68,15.95,24700,15.95
2015-01-28,16.07,16.23,15.81,15.87,47200,15.87
2015-01-27,16.50,16.60,15.77,16.05,62500,16.05
2015-01-26,17.32,17.33,16.50,16.57,100000,16.57
2015-01-23,18.20,18.20,17.22,17.38,77200,17.38
2015-01-22,18.32,18.50,17.88,18.40,40500,18.40
2015-01-21,18.50,18.50,18.24,18.25,87800,18.25
2015-01-20,18.60,18.60,18.40,18.48,103100,18.48
2015-01-16,18.41,18.50,18.37,18.49,50300,18.49
2015-01-15,19.00,19.00,18.38,18.43,150200,18.43
2015-01-14,18.52,18.67,18.28,18.54,61400,18.54
2015-01-13,18.72,18.77,18.52,18.66,38900,18.66
2015-01-12,18.80,18.80,18.64,18.72,17800,18.72
2015-01-09,18.80,18.80,18.61,18.73,11800,18.73
2015-01-08,18.73,18.85,18.69,18.75,54500,18.75
2015-01-07,18.75,18.80,18.55,18.67,38900,18.67
2015-01-06,18.77,18.77,18.42,18.66,29800,18.66
2015-01-05,18.72,18.85,18.50,18.76,37000,18.76
2015-01-02,18.65,18.80,18.57,18.74,13300,18.74
