Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,37.93,38.80,37.71,38.78,343500,38.78
2015-04-07,37.92,38.86,37.92,38.05,318500,38.05
2015-04-06,37.41,38.28,36.85,38.02,532000,38.02
2015-04-02,38.20,38.45,37.67,37.79,462300,37.79
2015-04-01,38.57,38.76,37.90,38.37,574000,38.37
2015-03-31,38.62,39.23,38.49,38.52,418800,38.52
2015-03-30,37.82,38.90,37.73,38.78,512100,38.78
2015-03-27,38.45,38.95,37.99,38.62,307300,38.62
2015-03-26,38.22,38.63,37.79,38.44,430100,38.44
2015-03-25,39.20,39.63,38.44,38.44,418900,38.44
2015-03-24,39.24,39.47,38.62,39.20,345600,39.20
2015-03-23,38.75,39.24,38.69,39.24,356800,39.24
2015-03-20,39.39,39.39,38.65,38.84,837600,38.84
2015-03-19,39.38,39.44,38.52,39.09,396000,39.09
2015-03-18,38.45,39.72,38.45,39.38,492200,39.38
2015-03-17,38.60,39.02,38.22,38.67,535000,38.67
2015-03-16,37.55,38.79,37.06,38.70,764300,38.70
2015-03-13,37.90,38.12,36.76,37.19,550700,37.19
2015-03-12,37.67,37.99,37.20,37.78,476500,37.78
2015-03-11,37.50,37.92,36.77,37.44,717900,37.44
2015-03-10,38.02,38.35,37.32,37.50,915600,37.50
2015-03-09,40.22,40.22,38.24,38.44,586900,38.44
2015-03-06,40.28,41.06,40.17,40.21,429800,40.21
2015-03-05,40.10,40.98,39.91,40.72,495400,40.72
2015-03-04,39.73,40.28,39.57,40.08,321300,40.08
2015-03-03,39.30,40.03,39.30,39.86,452300,39.86
2015-03-02,39.75,40.12,38.99,39.57,456400,39.57
2015-02-27,40.61,40.72,39.68,39.77,639800,39.77
2015-02-26,40.28,41.23,40.00,40.68,500600,40.68
2015-02-25,40.75,40.78,39.56,40.28,837300,40.28
2015-02-24,42.50,42.96,40.08,40.78,2695500,40.78
2015-02-23,44.77,44.91,43.66,44.68,732400,44.68
2015-02-20,43.59,45.20,42.83,44.95,633700,44.95
2015-02-19,42.95,43.29,42.54,43.13,274400,43.13
2015-02-18,42.68,43.38,42.65,42.97,325200,42.97
2015-02-17,43.02,43.09,42.22,42.66,333300,42.66
2015-02-13,40.92,43.03,40.80,42.84,495200,42.84
2015-02-12,41.34,41.34,40.58,40.78,450100,40.78
2015-02-11,41.77,42.41,40.77,40.88,476200,40.88
2015-02-10,42.56,42.56,41.31,41.96,526000,41.96
2015-02-09,42.33,42.67,41.39,42.13,417900,42.13
2015-02-06,42.70,43.00,42.05,42.42,406200,42.42
2015-02-05,42.99,43.17,42.18,42.71,561700,42.71
2015-02-04,40.92,42.85,40.81,42.77,634200,42.77
2015-02-03,40.29,41.18,39.58,41.09,519700,41.09
2015-02-02,40.40,41.35,39.54,40.19,486000,40.19
2015-01-30,41.27,41.50,40.15,40.20,413900,40.20
2015-01-29,42.57,42.57,40.31,41.51,505300,41.51
2015-01-28,43.18,43.74,42.48,42.62,645100,42.62
2015-01-27,42.54,43.21,42.20,42.85,512200,42.85
2015-01-26,43.60,44.36,42.55,43.23,789400,43.23
2015-01-23,40.83,41.39,40.28,41.07,359200,41.07
2015-01-22,40.11,40.90,39.14,40.85,397000,40.85
2015-01-21,39.02,40.56,38.92,39.79,463500,39.79
2015-01-20,40.10,40.71,38.95,39.13,573800,39.13
2015-01-16,39.15,40.02,38.83,39.97,394500,39.97
2015-01-15,40.95,40.95,39.27,39.28,561400,39.28
2015-01-14,40.74,41.19,39.65,40.28,720900,40.28
2015-01-13,41.82,42.70,40.77,41.24,454000,41.24
2015-01-12,41.80,42.41,40.95,41.35,526200,41.35
2015-01-09,42.75,43.47,41.73,41.77,333900,41.77
2015-01-08,42.37,43.13,42.01,42.68,555500,42.68
2015-01-07,41.95,42.21,41.05,41.91,732800,41.91
2015-01-06,42.58,42.60,40.68,41.58,543600,41.58
2015-01-05,43.50,43.77,41.98,42.46,684900,42.46
2015-01-02,44.27,45.35,43.37,43.94,418000,43.94
