Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,21.26,21.27,19.65,20.13,470200,20.13
2015-04-07,21.48,21.56,21.10,21.48,160800,21.48
2015-04-06,22.74,23.18,21.89,21.94,377000,21.94
2015-04-02,21.16,21.49,20.47,20.98,277400,20.98
2015-04-01,21.05,22.37,21.05,21.85,264900,21.85
2015-03-31,20.84,21.41,20.42,20.75,168200,20.75
2015-03-30,21.27,21.33,20.69,21.00,256200,21.00
2015-03-27,22.50,22.55,21.60,21.97,645000,21.97
2015-03-26,22.54,22.76,22.17,22.38,359400,22.38
2015-03-25,22.58,22.65,21.93,22.01,231700,22.01
2015-03-24,21.93,22.16,21.45,22.15,235000,22.15
2015-03-23,21.53,22.53,21.43,22.34,475300,22.34
2015-03-20,19.68,21.75,19.56,21.12,939500,21.12
2015-03-19,18.39,19.24,18.21,19.01,332900,19.01
2015-03-18,17.03,18.80,16.85,18.80,610700,18.80
2015-03-17,16.70,17.70,16.64,17.12,174000,17.12
2015-03-16,17.62,17.66,17.00,17.43,281600,17.43
2015-03-13,17.32,17.35,16.89,17.22,205200,17.22
2015-03-12,17.37,17.43,16.91,17.24,250000,17.24
2015-03-11,17.35,17.36,16.25,16.93,712700,16.93
2015-03-10,17.90,18.12,17.48,17.60,377600,17.60
2015-03-09,18.06,18.23,17.91,17.98,275500,17.98
2015-03-06,18.30,18.51,17.89,18.25,1024500,18.25
2015-03-05,19.63,20.05,19.30,19.53,188500,19.53
2015-03-04,19.79,19.83,19.00,19.44,284000,19.44
2015-03-03,20.40,20.80,19.36,19.70,460700,19.70
2015-03-02,20.87,21.00,20.06,20.10,203400,20.10
2015-02-27,21.16,21.28,20.74,20.87,284400,20.87
2015-02-26,21.51,21.57,20.70,20.80,235500,20.80
2015-02-25,20.77,20.92,20.46,20.75,482900,20.75
2015-02-24,19.80,20.62,19.20,19.71,639500,19.71
2015-02-23,20.37,21.12,19.80,20.00,487200,20.00
2015-02-20,20.46,20.66,19.56,19.70,548200,19.70
2015-02-19,20.77,20.94,20.18,20.33,574000,20.33
2015-02-18,20.51,21.07,19.86,20.52,690300,20.52
2015-02-17,20.46,20.86,19.99,20.85,1505400,20.85
2015-02-13,23.97,24.71,23.81,24.06,415600,24.06
2015-02-12,22.46,22.66,21.90,22.30,120500,22.30
2015-02-11,22.72,22.78,21.87,22.13,149000,22.13
2015-02-10,22.78,23.40,22.39,22.61,150100,22.61
2015-02-09,22.72,23.53,22.72,23.15,243000,23.15
2015-02-06,22.67,22.97,21.27,22.00,798700,22.00
2015-02-05,23.62,24.49,23.05,24.49,243700,24.49
2015-02-04,24.89,25.95,24.67,24.71,345800,24.71
2015-02-03,24.55,25.19,23.48,24.32,369700,24.32
2015-02-02,23.69,24.64,23.52,23.97,240700,23.97
2015-01-30,22.83,24.50,22.50,24.27,468200,24.27
2015-01-29,25.62,25.71,22.22,23.03,1204100,23.03
2015-01-28,28.09,28.89,27.91,28.17,295900,28.17
2015-01-27,27.92,29.25,27.92,28.66,409500,28.66
2015-01-26,28.71,28.93,27.60,27.68,485100,27.68
2015-01-23,29.43,29.88,28.72,29.69,385200,29.69
2015-01-22,29.89,30.51,29.05,30.12,625600,30.12
2015-01-21,30.21,30.53,28.30,28.99,765900,28.99
2015-01-20,27.42,28.34,27.21,27.97,695700,27.97
2015-01-16,24.52,27.42,24.45,26.90,901200,26.90
2015-01-15,24.18,24.74,23.15,23.30,562200,23.30
2015-01-14,23.60,24.22,23.17,23.22,343200,23.22
2015-01-13,24.34,24.75,23.56,23.93,661400,23.93
2015-01-12,22.00,22.48,21.76,22.23,244500,22.23
2015-01-09,21.54,22.35,21.43,21.72,190000,21.72
2015-01-08,22.04,22.53,21.15,21.26,204800,21.26
2015-01-07,21.51,22.50,21.46,22.13,343900,22.13
2015-01-06,21.12,22.77,20.91,22.04,576000,22.04
2015-01-05,20.09,20.99,19.74,20.80,637800,20.80
2015-01-02,18.66,20.27,18.38,19.28,598900,19.28
