Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,15.25,16.43,14.82,16.43,5463800,16.43
2015-04-07,11.99,16.80,11.02,14.47,10108300,14.47
2015-04-06,12.29,12.29,12.29,12.29,000,12.29
2015-04-02,12.00,12.54,11.29,12.29,4005100,12.29
2015-04-01,10.82,11.33,10.32,10.42,2098400,10.42
2015-03-31,10.45,11.40,10.02,10.79,2166300,10.79
2015-03-30,11.87,11.96,9.89,10.63,2740900,10.63
2015-03-27,12.61,12.61,11.50,11.78,1185600,11.78
2015-03-26,12.29,12.86,11.80,12.48,2616300,12.48
2015-03-25,11.59,11.86,11.01,11.79,1064100,11.79
2015-03-24,11.33,12.10,11.20,11.60,1641700,11.60
2015-03-23,10.97,11.90,10.90,11.32,1907100,11.32
2015-03-20,10.02,11.46,10.02,11.06,2359500,11.06
2015-03-19,9.50,10.28,9.41,9.98,1876100,9.98
2015-03-18,11.36,11.36,9.19,9.36,7172600,9.36
2015-03-17,11.80,11.89,11.35,11.81,1197600,11.81
2015-03-16,11.60,12.03,10.82,11.87,1418900,11.87
2015-03-13,11.41,11.73,11.30,11.60,2198000,11.60
2015-03-12,12.28,12.68,11.36,11.41,2500000,11.41
2015-03-11,12.40,13.27,12.30,12.33,1313900,12.33
2015-03-10,12.65,13.50,12.38,12.45,1460700,12.45
2015-03-09,13.60,14.48,12.73,12.83,3210000,12.83
2015-03-06,13.76,14.50,12.00,14.50,3418100,14.50
2015-03-05,12.61,14.13,12.51,13.80,3607200,13.80
2015-03-04,10.96,12.21,10.73,12.16,3088400,12.16
2015-03-03,9.93,11.00,9.90,10.77,3524900,10.77
2015-03-02,7.67,10.25,7.31,10.02,7612800,10.02
2015-02-27,10.00,10.70,9.20,9.23,3439000,9.23
2015-02-26,10.57,10.94,10.00,10.10,3430800,10.10
2015-02-25,11.71,11.71,9.55,9.96,6027900,9.96
2015-02-24,13.13,13.56,12.80,12.83,1661600,12.83
2015-02-23,15.50,15.59,12.52,12.81,5223800,12.81
2015-02-20,17.40,17.40,14.80,15.66,2868800,15.66
2015-02-19,18.00,18.10,17.33,17.36,825000,17.36
2015-02-18,17.49,18.19,17.47,18.09,1125200,18.09
2015-02-17,17.25,17.61,17.25,17.53,592000,17.53
2015-02-13,17.73,18.05,17.22,17.36,753900,17.36
2015-02-12,17.91,17.93,17.48,17.66,527600,17.66
2015-02-11,16.64,18.18,16.60,18.01,1950700,18.01
2015-02-10,18.85,19.45,18.34,19.18,1369900,19.18
2015-02-09,19.31,19.98,18.67,18.99,1055300,18.99
2015-02-06,19.00,19.44,18.53,19.30,510700,19.30
2015-02-05,18.10,19.43,18.05,19.02,683900,19.02
2015-02-04,17.98,18.32,17.62,18.01,478900,18.01
2015-02-03,16.85,18.19,16.70,17.94,550200,17.94
2015-02-02,17.06,17.39,16.51,16.71,369100,16.71
2015-01-30,16.87,17.28,16.80,17.12,190200,17.12
2015-01-29,17.17,17.27,16.59,16.99,203900,16.99
2015-01-28,18.70,18.72,16.88,17.21,592500,17.21
2015-01-27,17.19,18.78,17.19,18.63,921900,18.63
2015-01-26,17.66,18.51,17.20,17.46,491200,17.46
2015-01-23,16.02,18.15,16.02,17.76,728100,17.76
2015-01-22,17.10,17.22,15.71,16.23,771700,16.23
2015-01-21,17.50,17.91,17.10,17.41,510800,17.41
2015-01-20,18.31,18.78,17.29,17.52,687000,17.52
2015-01-16,18.40,18.61,17.83,18.12,444000,18.12
2015-01-15,18.30,19.67,18.15,18.64,778800,18.64
2015-01-14,18.86,20.29,17.86,18.05,1669900,18.05
2015-01-13,16.24,19.92,16.07,19.04,2249300,19.04
2015-01-12,15.20,16.08,15.14,16.02,1127900,16.02
2015-01-09,15.05,15.17,14.82,14.99,526600,14.99
2015-01-08,15.91,15.91,15.00,15.01,820400,15.01
2015-01-07,15.51,16.00,15.16,15.92,1019400,15.92
2015-01-06,15.98,15.98,14.53,15.36,1537300,15.36
2015-01-05,16.82,16.82,16.01,16.03,383900,16.03
2015-01-02,17.40,17.40,16.42,16.94,559100,16.94
